T-001 | verification_phone_old
T-002 | app_crash
T-003 | verification_phone_old
T-004 | password_reset_missing
T-005 | password_reset_missing
T-006 | refund_pending
T-007 | tracking_stalled
T-008 | package_not_received
T-009 | app_crash
T-010 | payment_declined
T-011 | tracking_stalled
T-012 | tracking_stalled
T-013 | refund_pending
T-014 | unexpected_fee
T-015 | verification_phone_old
T-016 | duplicate_charge
T-017 | duplicate_charge
T-018 | password_reset_missing
T-019 | package_not_received
T-020 | payment_declined
T-021 | password_reset_missing
T-022 | duplicate_charge
T-023 | tracking_stalled
T-024 | verification_phone_old
T-025 | package_not_received
T-026 | unexpected_fee
T-027 | unexpected_fee
T-028 | refund_pending
T-029 | app_crash
T-030 | payment_declined
T-031 | app_crash
T-032 | duplicate_charge
T-033 | refund_pending
T-034 | damaged_item
T-035 | package_not_received
T-036 | unexpected_fee
T-037 | damaged_item
T-038 | damaged_item
T-039 | damaged_item
T-040 | payment_declined
