T-001 | tracking_stalled
T-002 | package_not_received
T-003 | unexpected_fee
T-004 | package_not_received
T-005 | tracking_stalled
T-006 | package_not_received
T-007 | damaged_item
T-008 | damaged_item
T-009 | verification_phone_old
T-010 | unexpected_fee
T-011 | verification_phone_old
T-012 | app_crash
T-013 | duplicate_charge
T-014 | tracking_stalled
T-015 | password_reset_missing
T-016 | tracking_stalled
T-017 | duplicate_charge
T-018 | password_reset_missing
T-019 | password_reset_missing
T-020 | refund_pending
T-021 | app_crash
T-022 | verification_phone_old
T-023 | refund_pending
T-024 | payment_declined
T-025 | payment_declined
T-026 | package_not_received
T-027 | damaged_item
T-028 | refund_pending
T-029 | password_reset_missing
T-030 | duplicate_charge
T-031 | payment_declined
T-032 | unexpected_fee
T-033 | password_reset_missing
T-034 | package_not_received
T-035 | unexpected_fee
T-036 | unexpected_fee
T-037 | refund_pending
T-038 | unexpected_fee
T-039 | verification_phone_old
T-040 | damaged_item
T-041 | duplicate_charge
T-042 | damaged_item
T-043 | payment_declined
T-044 | refund_pending
T-045 | damaged_item
T-046 | app_crash
T-047 | duplicate_charge
T-048 | payment_declined
T-049 | payment_declined
T-050 | verification_phone_old
T-051 | verification_phone_old
T-052 | package_not_received
T-053 | password_reset_missing
T-054 | duplicate_charge
T-055 | refund_pending
T-056 | app_crash
T-057 | payment_declined
T-058 | app_crash
T-059 | package_not_received
T-060 | tracking_stalled
