T-001 | duplicate_charge
T-002 | unexpected_fee
T-003 | damaged_item
T-004 | unexpected_fee
T-005 | package_not_received
T-006 | tracking_stalled
T-007 | tracking_stalled
T-008 | verification_phone_old
T-009 | payment_declined
T-010 | damaged_item
T-011 | app_crash
T-012 | payment_declined
T-013 | verification_phone_old
T-014 | payment_declined
T-015 | damaged_item
T-016 | package_not_received
T-017 | payment_declined
T-018 | verification_phone_old
T-019 | package_not_received
T-020 | tracking_stalled
T-021 | refund_pending
T-022 | verification_phone_old
T-023 | duplicate_charge
T-024 | app_crash
T-025 | tracking_stalled
T-026 | verification_phone_old
T-027 | payment_declined
T-028 | unexpected_fee
T-029 | password_reset_missing
T-030 | package_not_received
T-031 | package_not_received
T-032 | payment_declined
T-033 | payment_declined
T-034 | duplicate_charge
T-035 | unexpected_fee
T-036 | refund_pending
T-037 | damaged_item
T-038 | password_reset_missing
T-039 | payment_declined
T-040 | password_reset_missing
T-041 | refund_pending
T-042 | refund_pending
T-043 | password_reset_missing
T-044 | app_crash
T-045 | password_reset_missing
T-046 | app_crash
T-047 | app_crash
T-048 | damaged_item
T-049 | unexpected_fee
T-050 | unexpected_fee
T-051 | tracking_stalled
T-052 | app_crash
T-053 | verification_phone_old
T-054 | duplicate_charge
T-055 | package_not_received
T-056 | password_reset_missing
T-057 | refund_pending
T-058 | refund_pending
T-059 | duplicate_charge
T-060 | duplicate_charge
