T-001 | app_crash
T-002 | refund_pending
T-003 | payment_declined
T-004 | damaged_item
T-005 | duplicate_charge
T-006 | duplicate_charge
T-007 | verification_phone_old
T-008 | package_not_received
T-009 | app_crash
T-010 | verification_phone_old
T-011 | tracking_stalled
T-012 | refund_pending
T-013 | password_reset_missing
T-014 | tracking_stalled
T-015 | verification_phone_old
T-016 | refund_pending
T-017 | password_reset_missing
T-018 | refund_pending
T-019 | damaged_item
T-020 | app_crash
T-021 | payment_declined
T-022 | package_not_received
T-023 | payment_declined
T-024 | payment_declined
T-025 | app_crash
T-026 | tracking_stalled
T-027 | damaged_item
T-028 | damaged_item
T-029 | app_crash
T-030 | package_not_received
T-031 | refund_pending
T-032 | package_not_received
T-033 | duplicate_charge
T-034 | unexpected_fee
T-035 | tracking_stalled
T-036 | unexpected_fee
T-037 | verification_phone_old
T-038 | package_not_received
T-039 | unexpected_fee
T-040 | tracking_stalled
T-041 | duplicate_charge
T-042 | verification_phone_old
T-043 | tracking_stalled
T-044 | damaged_item
T-045 | verification_phone_old
T-046 | unexpected_fee
T-047 | payment_declined
T-048 | verification_phone_old
T-049 | refund_pending
T-050 | app_crash
T-051 | duplicate_charge
T-052 | damaged_item
T-053 | refund_pending
T-054 | duplicate_charge
T-055 | password_reset_missing
T-056 | password_reset_missing
T-057 | payment_declined
T-058 | app_crash
T-059 | duplicate_charge
T-060 | app_crash
T-061 | duplicate_charge
T-062 | tracking_stalled
T-063 | package_not_received
T-064 | unexpected_fee
T-065 | duplicate_charge
T-066 | payment_declined
T-067 | verification_phone_old
T-068 | package_not_received
T-069 | password_reset_missing
T-070 | package_not_received
T-071 | damaged_item
T-072 | damaged_item
T-073 | payment_declined
T-074 | refund_pending
T-075 | unexpected_fee
T-076 | unexpected_fee
T-077 | password_reset_missing
T-078 | password_reset_missing
T-079 | tracking_stalled
T-080 | password_reset_missing
