T-001 | unexpected_fee
T-002 | tracking_stalled
T-003 | package_not_received
T-004 | package_not_received
T-005 | refund_pending
T-006 | app_crash
T-007 | verification_phone_old
T-008 | tracking_stalled
T-009 | unexpected_fee
T-010 | payment_declined
T-011 | damaged_item
T-012 | unexpected_fee
T-013 | payment_declined
T-014 | damaged_item
T-015 | damaged_item
T-016 | refund_pending
T-017 | refund_pending
T-018 | damaged_item
T-019 | app_crash
T-020 | package_not_received
T-021 | package_not_received
T-022 | app_crash
T-023 | package_not_received
T-024 | damaged_item
T-025 | password_reset_missing
T-026 | app_crash
T-027 | package_not_received
T-028 | verification_phone_old
T-029 | payment_declined
T-030 | payment_declined
T-031 | password_reset_missing
T-032 | verification_phone_old
T-033 | unexpected_fee
T-034 | verification_phone_old
T-035 | duplicate_charge
T-036 | password_reset_missing
T-037 | app_crash
T-038 | unexpected_fee
T-039 | verification_phone_old
T-040 | payment_declined
T-041 | duplicate_charge
T-042 | tracking_stalled
T-043 | package_not_received
T-044 | refund_pending
T-045 | duplicate_charge
T-046 | duplicate_charge
T-047 | password_reset_missing
T-048 | app_crash
T-049 | verification_phone_old
T-050 | tracking_stalled
T-051 | app_crash
T-052 | tracking_stalled
T-053 | tracking_stalled
T-054 | damaged_item
T-055 | tracking_stalled
T-056 | password_reset_missing
T-057 | app_crash
T-058 | payment_declined
T-059 | package_not_received
T-060 | unexpected_fee
T-061 | password_reset_missing
T-062 | duplicate_charge
T-063 | duplicate_charge
T-064 | unexpected_fee
T-065 | password_reset_missing
T-066 | payment_declined
T-067 | password_reset_missing
T-068 | verification_phone_old
T-069 | refund_pending
T-070 | damaged_item
T-071 | duplicate_charge
T-072 | refund_pending
T-073 | refund_pending
T-074 | verification_phone_old
T-075 | damaged_item
T-076 | unexpected_fee
T-077 | refund_pending
T-078 | payment_declined
T-079 | duplicate_charge
T-080 | tracking_stalled
