T-001 | payment_declined
T-002 | refund_pending
T-003 | refund_pending
T-004 | verification_phone_old
T-005 | duplicate_charge
T-006 | duplicate_charge
T-007 | password_reset_missing
T-008 | package_not_received
T-009 | unexpected_fee
T-010 | verification_phone_old
T-011 | unexpected_fee
T-012 | verification_phone_old
T-013 | unexpected_fee
T-014 | password_reset_missing
T-015 | refund_pending
T-016 | tracking_stalled
T-017 | tracking_stalled
T-018 | tracking_stalled
T-019 | payment_declined
T-020 | refund_pending
T-021 | damaged_item
T-022 | package_not_received
T-023 | tracking_stalled
T-024 | password_reset_missing
T-025 | unexpected_fee
T-026 | unexpected_fee
T-027 | verification_phone_old
T-028 | duplicate_charge
T-029 | package_not_received
T-030 | damaged_item
T-031 | unexpected_fee
T-032 | unexpected_fee
T-033 | damaged_item
T-034 | app_crash
T-035 | app_crash
T-036 | duplicate_charge
T-037 | package_not_received
T-038 | tracking_stalled
T-039 | refund_pending
T-040 | damaged_item
T-041 | refund_pending
T-042 | password_reset_missing
T-043 | verification_phone_old
T-044 | verification_phone_old
T-045 | unexpected_fee
T-046 | unexpected_fee
T-047 | unexpected_fee
T-048 | package_not_received
T-049 | package_not_received
T-050 | unexpected_fee
T-051 | verification_phone_old
T-052 | verification_phone_old
T-053 | verification_phone_old
T-054 | damaged_item
T-055 | refund_pending
T-056 | duplicate_charge
T-057 | payment_declined
T-058 | tracking_stalled
T-059 | app_crash
T-060 | payment_declined
T-061 | package_not_received
T-062 | tracking_stalled
T-063 | password_reset_missing
T-064 | refund_pending
T-065 | duplicate_charge
T-066 | damaged_item
T-067 | damaged_item
T-068 | password_reset_missing
T-069 | duplicate_charge
T-070 | duplicate_charge
T-071 | damaged_item
T-072 | app_crash
T-073 | app_crash
T-074 | package_not_received
T-075 | package_not_received
T-076 | payment_declined
T-077 | package_not_received
T-078 | password_reset_missing
T-079 | unexpected_fee
T-080 | app_crash
T-081 | refund_pending
T-082 | app_crash
T-083 | duplicate_charge
T-084 | package_not_received
T-085 | payment_declined
T-086 | password_reset_missing
T-087 | payment_declined
T-088 | verification_phone_old
T-089 | package_not_received
T-090 | damaged_item
T-091 | refund_pending
T-092 | unexpected_fee
T-093 | app_crash
T-094 | app_crash
T-095 | damaged_item
T-096 | password_reset_missing
T-097 | duplicate_charge
T-098 | package_not_received
T-099 | password_reset_missing
T-100 | package_not_received
