T-001 | refund_pending
T-002 | app_crash
T-003 | damaged_item
T-004 | refund_pending
T-005 | verification_phone_old
T-006 | app_crash
T-007 | verification_phone_old
T-008 | unexpected_fee
T-009 | tracking_stalled
T-010 | verification_phone_old
T-011 | package_not_received
T-012 | password_reset_missing
T-013 | app_crash
T-014 | unexpected_fee
T-015 | duplicate_charge
T-016 | unexpected_fee
T-017 | payment_declined
T-018 | password_reset_missing
T-019 | tracking_stalled
T-020 | duplicate_charge
T-021 | tracking_stalled
T-022 | package_not_received
T-023 | password_reset_missing
T-024 | unexpected_fee
T-025 | damaged_item
T-026 | payment_declined
T-027 | verification_phone_old
T-028 | app_crash
T-029 | duplicate_charge
T-030 | password_reset_missing
T-031 | refund_pending
T-032 | damaged_item
T-033 | refund_pending
T-034 | verification_phone_old
T-035 | verification_phone_old
T-036 | refund_pending
T-037 | refund_pending
T-038 | package_not_received
T-039 | payment_declined
T-040 | unexpected_fee
T-041 | payment_declined
T-042 | duplicate_charge
T-043 | unexpected_fee
T-044 | damaged_item
T-045 | unexpected_fee
T-046 | app_crash
T-047 | damaged_item
T-048 | password_reset_missing
T-049 | tracking_stalled
T-050 | tracking_stalled
T-051 | package_not_received
T-052 | duplicate_charge
T-053 | payment_declined
T-054 | password_reset_missing
T-055 | verification_phone_old
T-056 | package_not_received
T-057 | unexpected_fee
T-058 | unexpected_fee
T-059 | damaged_item
T-060 | tracking_stalled
T-061 | damaged_item
T-062 | app_crash
T-063 | password_reset_missing
T-064 | tracking_stalled
T-065 | duplicate_charge
T-066 | refund_pending
T-067 | duplicate_charge
T-068 | app_crash
T-069 | package_not_received
T-070 | password_reset_missing
T-071 | tracking_stalled
T-072 | package_not_received
T-073 | damaged_item
T-074 | unexpected_fee
T-075 | app_crash
