T-001 | duplicate_charge
T-002 | app_crash
T-003 | package_not_received
T-004 | refund_pending
T-005 | duplicate_charge
T-006 | package_not_received
T-007 | tracking_stalled
T-008 | verification_phone_old
T-009 | unexpected_fee
T-010 | app_crash
T-011 | package_not_received
T-012 | tracking_stalled
T-013 | duplicate_charge
T-014 | unexpected_fee
T-015 | refund_pending
T-016 | app_crash
T-017 | damaged_item
T-018 | duplicate_charge
T-019 | damaged_item
T-020 | damaged_item
T-021 | package_not_received
T-022 | damaged_item
T-023 | package_not_received
T-024 | unexpected_fee
T-025 | payment_declined
T-026 | payment_declined
T-027 | duplicate_charge
T-028 | damaged_item
T-029 | refund_pending
T-030 | app_crash
T-031 | unexpected_fee
T-032 | package_not_received
T-033 | refund_pending
T-034 | verification_phone_old
T-035 | payment_declined
T-036 | payment_declined
T-037 | refund_pending
T-038 | tracking_stalled
T-039 | refund_pending
T-040 | payment_declined
T-041 | package_not_received
T-042 | tracking_stalled
T-043 | refund_pending
T-044 | refund_pending
T-045 | app_crash
T-046 | app_crash
T-047 | verification_phone_old
T-048 | verification_phone_old
T-049 | verification_phone_old
T-050 | duplicate_charge
T-051 | package_not_received
T-052 | verification_phone_old
T-053 | verification_phone_old
T-054 | damaged_item
T-055 | damaged_item
T-056 | verification_phone_old
T-057 | payment_declined
T-058 | package_not_received
T-059 | verification_phone_old
T-060 | app_crash
T-061 | verification_phone_old
T-062 | tracking_stalled
T-063 | refund_pending
T-064 | verification_phone_old
T-065 | verification_phone_old
T-066 | verification_phone_old
T-067 | refund_pending
T-068 | unexpected_fee
T-069 | app_crash
T-070 | damaged_item
T-071 | verification_phone_old
T-072 | duplicate_charge
T-073 | package_not_received
T-074 | tracking_stalled
T-075 | unexpected_fee
