T-001 | app_crash
T-002 | tracking_stalled
T-003 | unexpected_fee
T-004 | verification_phone_old
T-005 | duplicate_charge
T-006 | password_reset_missing
T-007 | package_not_received
T-008 | refund_pending
T-009 | verification_phone_old
T-010 | damaged_item
T-011 | damaged_item
T-012 | app_crash
T-013 | refund_pending
T-014 | password_reset_missing
T-015 | payment_declined
T-016 | password_reset_missing
T-017 | tracking_stalled
T-018 | app_crash
T-019 | payment_declined
T-020 | duplicate_charge
T-021 | password_reset_missing
T-022 | duplicate_charge
T-023 | tracking_stalled
T-024 | damaged_item
T-025 | package_not_received
