T-001 | tracking_stalled
T-002 | verification_phone_old
T-003 | app_crash
T-004 | password_reset_missing
T-005 | password_reset_missing
T-006 | tracking_stalled
T-007 | password_reset_missing
T-008 | duplicate_charge
T-009 | package_not_received
T-010 | unexpected_fee
T-011 | damaged_item
T-012 | refund_pending
T-013 | duplicate_charge
T-014 | tracking_stalled
T-015 | damaged_item
T-016 | duplicate_charge
T-017 | refund_pending
T-018 | payment_declined
T-019 | verification_phone_old
T-020 | app_crash
T-021 | damaged_item
T-022 | package_not_received
T-023 | app_crash
T-024 | unexpected_fee
T-025 | payment_declined
