T-001 | unexpected_fee
T-002 | payment_declined
T-003 | verification_phone_old
T-004 | tracking_stalled
T-005 | duplicate_charge
T-006 | package_not_received
T-007 | app_crash
T-008 | package_not_received
T-009 | app_crash
T-010 | password_reset_missing
T-011 | verification_phone_old
T-012 | damaged_item
T-013 | payment_declined
T-014 | refund_pending
T-015 | unexpected_fee
T-016 | damaged_item
T-017 | duplicate_charge
T-018 | password_reset_missing
T-019 | package_not_received
T-020 | damaged_item
T-021 | app_crash
T-022 | duplicate_charge
T-023 | tracking_stalled
T-024 | refund_pending
T-025 | password_reset_missing
