T-001 | verification_phone_old
T-002 | payment_declined
T-003 | unexpected_fee
T-004 | unexpected_fee
T-005 | refund_pending
T-006 | app_crash
T-007 | refund_pending
T-008 | password_reset_missing
T-009 | package_not_received
T-010 | tracking_stalled
T-011 | duplicate_charge
T-012 | package_not_received
T-013 | tracking_stalled
T-014 | package_not_received
T-015 | refund_pending
T-016 | verification_phone_old
T-017 | app_crash
T-018 | payment_declined
T-019 | password_reset_missing
T-020 | damaged_item
T-021 | refund_pending
T-022 | tracking_stalled
T-023 | unexpected_fee
T-024 | refund_pending
T-025 | damaged_item
T-026 | tracking_stalled
T-027 | damaged_item
T-028 | password_reset_missing
T-029 | app_crash
T-030 | package_not_received
T-031 | verification_phone_old
T-032 | duplicate_charge
T-033 | damaged_item
T-034 | duplicate_charge
T-035 | damaged_item
T-036 | payment_declined
T-037 | unexpected_fee
T-038 | app_crash
T-039 | duplicate_charge
T-040 | payment_declined
T-041 | verification_phone_old
T-042 | verification_phone_old
T-043 | password_reset_missing
T-044 | password_reset_missing
T-045 | duplicate_charge
T-046 | refund_pending
T-047 | payment_declined
T-048 | app_crash
T-049 | package_not_received
T-050 | tracking_stalled
