T-001 | package_not_received
T-002 | tracking_stalled
T-003 | duplicate_charge
T-004 | payment_declined
T-005 | app_crash
T-006 | duplicate_charge
T-007 | password_reset_missing
T-008 | payment_declined
T-009 | damaged_item
T-010 | payment_declined
T-011 | password_reset_missing
T-012 | unexpected_fee
T-013 | tracking_stalled
T-014 | unexpected_fee
T-015 | app_crash
T-016 | tracking_stalled
T-017 | tracking_stalled
T-018 | app_crash
T-019 | refund_pending
T-020 | duplicate_charge
T-021 | password_reset_missing
T-022 | damaged_item
T-023 | payment_declined
T-024 | payment_declined
T-025 | tracking_stalled
T-026 | verification_phone_old
T-027 | tracking_stalled
T-028 | verification_phone_old
T-029 | refund_pending
T-030 | refund_pending
T-031 | refund_pending
T-032 | app_crash
T-033 | duplicate_charge
T-034 | unexpected_fee
T-035 | package_not_received
T-036 | password_reset_missing
T-037 | duplicate_charge
T-038 | password_reset_missing
T-039 | app_crash
T-040 | damaged_item
T-041 | package_not_received
T-042 | verification_phone_old
T-043 | tracking_stalled
T-044 | refund_pending
T-045 | damaged_item
T-046 | unexpected_fee
T-047 | refund_pending
T-048 | unexpected_fee
T-049 | password_reset_missing
T-050 | damaged_item
