T-001 | damaged_item
T-002 | tracking_stalled
T-003 | payment_declined
T-004 | duplicate_charge
T-005 | verification_phone_old
T-006 | damaged_item
T-007 | damaged_item
T-008 | payment_declined
T-009 | unexpected_fee
T-010 | verification_phone_old
T-011 | tracking_stalled
T-012 | damaged_item
T-013 | app_crash
T-014 | verification_phone_old
T-015 | package_not_received
T-016 | package_not_received
T-017 | unexpected_fee
T-018 | duplicate_charge
T-019 | app_crash
T-020 | tracking_stalled
T-021 | package_not_received
T-022 | payment_declined
T-023 | package_not_received
T-024 | damaged_item
T-025 | package_not_received
T-026 | refund_pending
T-027 | payment_declined
T-028 | verification_phone_old
T-029 | unexpected_fee
T-030 | password_reset_missing
T-031 | unexpected_fee
T-032 | app_crash
T-033 | package_not_received
T-034 | password_reset_missing
T-035 | payment_declined
T-036 | password_reset_missing
T-037 | refund_pending
T-038 | refund_pending
T-039 | password_reset_missing
T-040 | app_crash
T-041 | verification_phone_old
T-042 | unexpected_fee
T-043 | tracking_stalled
T-044 | app_crash
T-045 | duplicate_charge
T-046 | password_reset_missing
T-047 | refund_pending
T-048 | refund_pending
T-049 | duplicate_charge
T-050 | duplicate_charge
