COMPLETED_TICKETS: <list of ticket IDs>
UNCLASSIFIED_COUNT: <number>
UNCLASSIFIED_TICKETS: <list of ticket IDs>
UNCLASSIFIED_TICKETS_WITH_TEXT: <list of ticket IDs with text>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT: <list of ticket IDs without text>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_LABELS: <list of ticket IDs with text and labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_LABELS: <list of ticket IDs without text and labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_NO_LABELS: <list of ticket IDs with text and no labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_NO_LABELS: <list of ticket IDs without text and no labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_MULTIPLE_LABELS: <list of ticket IDs with text and multiple labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_MULTIPLE_LABELS: <list of ticket IDs without text and multiple labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_INVALID_LABELS: <list of ticket IDs with text and invalid labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_INVALID_LABELS: <list of ticket IDs without text and invalid labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_NO_LABELS: <list of ticket IDs with text and no labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_NO_LABELS: <list of ticket IDs without text and no labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_MULTIPLE_LABELS: <list of ticket IDs with text and multiple labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_MULTIPLE_LABELS: <list of ticket IDs without text and multiple labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_INVALID_LABELS: <list of ticket IDs with text and invalid labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_INVALID_LABELS: <list of ticket IDs without text and invalid labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_NO_LABELS: <list of ticket IDs with text and no labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_NO_LABELS: <list of ticket IDs without text and no labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_MULTIPLE_LABELS: <list of ticket IDs with text and multiple labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_MULTIPLE_LABELS: <list of ticket IDs without text and multiple labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_INVALID_LABELS: <list of ticket IDs with text and invalid labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_INVALID_LABELS: <list of ticket IDs without text and invalid labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_NO_LABELS: <list of ticket IDs with text and no labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_NO_LABELS: <list of ticket IDs without text and no labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_MULTIPLE_LABELS: <list of ticket IDs with text and multiple labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_MULTIPLE_LABELS: <list of ticket IDs without text and multiple labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_INVALID_LABELS: <list of ticket IDs with text and invalid labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_INVALID_LABELS: <list of ticket IDs without text and invalid labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_NO_LABELS: <list of ticket IDs with text and no labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_NO_LABELS: <list of ticket IDs without text and no labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_MULTIPLE_LABELS: <list of ticket IDs with text and multiple labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_MULTIPLE_LABELS: <list of ticket IDs without text and multiple labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_INVALID_LABELS: <list of ticket IDs with text and invalid labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_INVALID_LABELS: <list of ticket IDs without text and invalid labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_NO_LABELS: <list of ticket IDs with text and no labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_NO_LABELS: <list of ticket IDs without text and no labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_MULTIPLE_LABELS: <list of ticket IDs with text and multiple labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_MULTIPLE_LABELS: <list of ticket IDs without text and multiple labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_INVALID_LABELS: <list of ticket IDs with text and invalid labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_INVALID_LABELS: <list of ticket IDs without text and invalid labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_NO_LABELS: <list of ticket IDs with text and no labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_NO_LABELS: <list of ticket IDs without text and no labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_MULTIPLE_LABELS: <list of ticket IDs with text and multiple labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_MULTIPLE_LABELS: <list of ticket IDs without text and multiple labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_INVALID_LABELS: <list of ticket IDs with text and invalid labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_INVALID_LABELS: <list of ticket IDs without text and invalid labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_NO_LABELS: <list of ticket IDs with text and no labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_NO_LABELS: <list of ticket IDs without text and no labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_MULTIPLE_LABELS: <list of ticket IDs with text and multiple labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_MULTIPLE_LABELS: <list of ticket IDs without text and multiple labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_INVALID_LABELS: <list of ticket IDs with text and invalid labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_INVALID_LABELS: <list of ticket IDs without text and invalid labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_NO_LABELS: <list of ticket IDs with text and no labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_NO_LABELS: <list of ticket IDs without text and no labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_MULTIPLE_LABELS: <list of ticket IDs with text and multiple labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_MULTIPLE_LABELS: <list of ticket IDs without text and multiple labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_INVALID_LABELS: <list of ticket IDs with text and invalid labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_INVALID_LABELS: <list of ticket IDs without text and invalid labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_NO_LABELS: <list of ticket IDs with text and no labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_NO_LABELS: <list of ticket IDs without text and no labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_MULTIPLE_LABELS: <list of ticket IDs with text and multiple labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_MULTIPLE_LABELS: <list of ticket IDs without text and multiple labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_INVALID_LABELS: <list of ticket IDs with text and invalid labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_INVALID_LABELS: <list of ticket IDs without text and invalid labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_NO_LABELS: <list of ticket IDs with text and no labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_NO_LABELS: <list of ticket IDs without text and no labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_MULTIPLE_LABELS: <list of ticket IDs with text and multiple labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_MULTIPLE_LABELS: <list of ticket IDs without text and multiple labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_INVALID_LABELS: <list of ticket IDs with text and invalid labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_INVALID_LABELS: <list of ticket IDs without text and invalid labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_NO_LABELS: <list of ticket IDs with text and no labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_NO_LABELS: <list of ticket IDs without text and no labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_MULTIPLE_LABELS: <list of ticket IDs with text and multiple labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_MULTIPLE_LABELS: <list of ticket IDs without text and multiple labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_INVALID_LABELS: <list of ticket IDs with text and invalid labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_INVALID_LABELS: <list of ticket IDs without text and invalid labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_NO_LABELS: <list of ticket IDs with text and no labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_NO_LABELS: <list of ticket IDs without text and no labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_MULTIPLE_LABELS: <list of ticket IDs with text and multiple labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_MULTIPLE_LABELS: <list of ticket IDs without text and multiple labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_INVALID_LABELS: <list of ticket IDs with text and invalid labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_INVALID_LABELS: <list of ticket IDs without text and invalid labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_NO_LABELS: <list of ticket IDs with text and no labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_NO_LABELS: <list of ticket IDs without text and no labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_MULTIPLE_LABELS: <list of ticket IDs with text and multiple labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_MULTIPLE_LABELS: <list of ticket IDs without text and multiple labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_INVALID_LABELS: <list of ticket IDs with text and invalid labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_INVALID_LABELS: <list of ticket IDs without text and invalid labels>
UNCLASSIFIED_TICKETS_WITH_TEXT_AND_NO_LABELS: <list of ticket IDs with text and no labels>
UNCLASSIFIED_TICKETS_WITHOUT_TEXT_AND_NO_LABELS: <list of ticket IDs without text and no labels>
