T-001 | damaged_item
T-002 | duplicate_charge
T-003 | unexpected_fee
T-004 | tracking_stalled
T-005 | payment_declined
T-006 | app_crash
T-007 | unexpected_fee
T-008 | verification_phone_old
T-009 | damaged_item
T-010 | refund_pending
T-011 | payment_declined
T-012 | duplicate_charge
T-013 | package_not_received
T-014 | app_crash
T-015 | package_not_received
T-016 | unexpected_fee
T-017 | unexpected_fee
T-018 | app_crash
T-019 | app_crash
T-020 | package_not_received
T-021 | tracking_stalled
T-022 | password_reset_missing
T-023 | package_not_received
T-024 | password_reset_missing
T-025 | refund_pending
T-026 | refund_pending
T-027 | unexpected_fee
T-028 | password_reset_missing
T-029 | verification_phone_old
T-030 | payment_declined
T-031 | password_reset_missing
T-032 | password_reset_missing
T-033 | unexpected_fee
T-034 | damaged_item
T-035 | duplicate_charge
T-036 | unexpected_fee
T-037 | app_crash
T-038 | damaged_item
T-039 | verification_phone_old
T-040 | refund_pending
T-041 | refund_pending
T-042 | refund_pending
T-043 | password_reset_missing
T-044 | duplicate_charge
T-045 | verification_phone_old
T-046 | verification_phone_old
T-047 | tracking_stalled
T-048 | damaged_item
T-049 | package_not_received
T-050 | tracking_stalled
T-051 | duplicate_charge
T-052 | verification_phone_old
T-053 | tracking_stalled
T-054 | duplicate_charge
T-055 | package_not_received
T-056 | damaged_item
T-057 | tracking_stalled
T-058 | refund_pending
T-059 | app_crash
T-060 | payment_declined
T-061 | package_not_received
T-062 | damaged_item
T-063 | unexpected_fee
T-064 | app_crash
T-065 | unexpected_fee
T-066 | verification_phone_old
T-067 | duplicate_charge
T-068 | tracking_stalled
T-069 | tracking_stalled
T-070 | password_reset_missing
T-071 | payment_declined
T-072 | verification_phone_old
T-073 | password_reset_missing
T-074 | package_not_received
T-075 | password_reset_missing
T-076 | refund_pending
T-077 | payment_declined
T-078 | app_crash
T-079 | payment_declined
T-080 | damaged_item
