T-001 | tracking_stalled
T-002 | package_not_received
T-003 | payment_declined
T-004 | refund_pending
T-005 | tracking_stalled
T-006 | refund_pending
T-007 | refund_pending
T-008 | password_reset_missing
T-009 | damaged_item
T-010 | verification_phone_old
T-011 | payment_declined
T-012 | tracking_stalled
T-013 | verification_phone_old
T-014 | refund_pending
T-015 | password_reset_missing
T-016 | unexpected_fee
T-017 | package_not_received
T-018 | package_not_received
T-019 | damaged_item
T-020 | unexpected_fee
T-021 | password_reset_missing
T-022 | payment_declined
T-023 | payment_declined
T-024 | refund_pending
T-025 | duplicate_charge
T-026 | damaged_item
T-027 | tracking_stalled
T-028 | refund_pending
T-029 | damaged_item
T-030 | package_not_received
T-031 | app_crash
T-032 | verification_phone_old
T-033 | tracking_stalled
T-034 | payment_declined
T-035 | unexpected_fee
T-036 | app_crash
T-037 | damaged_item
T-038 | duplicate_charge
T-039 | unexpected_fee
T-040 | tracking_stalled
T-041 | damaged_item
T-042 | unexpected_fee
T-043 | verification_phone_old
T-044 | verification_phone_old
T-045 | verification_phone_old
T-046 | duplicate_charge
T-047 | app_crash
T-048 | verification_phone_old
T-049 | password_reset_missing
T-050 | refund_pending
T-051 | damaged_item
T-052 | payment_declined
T-053 | password_reset_missing
T-054 | payment_declined
T-055 | duplicate_charge
T-056 | password_reset_missing
T-057 | damaged_item
T-058 | password_reset_missing
T-059 | duplicate_charge
T-060 | duplicate_charge
T-061 | tracking_stalled
T-062 | unexpected_fee
T-063 | package_not_received
T-064 | app_crash
T-065 | app_crash
T-066 | app_crash
T-067 | unexpected_fee
T-068 | package_not_received
T-069 | password_reset_missing
T-070 | duplicate_charge
T-071 | duplicate_charge
T-072 | package_not_received
T-073 | refund_pending
T-074 | refund_pending
T-075 | tracking_stalled
T-076 | tracking_stalled
T-077 | app_crash
T-078 | unexpected_fee
T-079 | verification_phone_old
T-080 | app_crash
