T-001 | payment_declined
T-002 | damaged_item
T-003 | tracking_stalled
T-004 | refund_pending
T-005 | duplicate_charge
T-006 | unexpected_fee
T-007 | verification_phone_old
T-008 | payment_declined
T-009 | app_crash
T-010 | damaged_item
T-011 | duplicate_charge
T-012 | tracking_stalled
T-013 | payment_declined
T-014 | payment_declined
T-015 | payment_declined
T-016 | damaged_item
T-017 | verification_phone_old
T-018 | tracking_stalled
T-019 | tracking_stalled
T-020 | unexpected_fee
T-021 | duplicate_charge
T-022 | password_reset_missing
T-023 | duplicate_charge
T-024 | app_crash
T-025 | password_reset_missing
T-026 | refund_pending
T-027 | damaged_item
T-028 | verification_phone_old
T-029 | verification_phone_old
T-030 | tracking_stalled
T-031 | tracking_stalled
T-032 | duplicate_charge
T-033 | tracking_stalled
T-034 | payment_declined
T-035 | verification_phone_old
T-036 | damaged_item
T-037 | duplicate_charge
T-038 | tracking_stalled
T-039 | tracking_stalled
T-040 | unexpected_fee
T-041 | app_crash
T-042 | app_crash
T-043 | tracking_stalled
T-044 | app_crash
T-045 | damaged_item
T-046 | tracking_stalled
T-047 | unexpected_fee
T-048 | tracking_stalled
T-049 | verification_phone_old
T-050 | tracking_stalled
T-051 | payment_declined
T-052 | tracking_stalled
T-053 | payment_declined
T-054 | app_crash
T-055 | app_crash
T-056 | password_reset_missing
T-057 | unexpected_fee
T-058 | tracking_stalled
T-059 | duplicate_charge
T-060 | verification_phone_old
T-061 | verification_phone_old
T-062 | tracking_stalled
T-063 | tracking_stalled
T-064 | unexpected_fee
T-065 | refund_pending
T-066 | unexpected_fee
T-067 | unexpected_fee
T-068 | damaged_item
T-069 | refund_pending
T-070 | payment_declined
T-071 | password_reset_missing
T-072 | verification_phone_old
T-073 | password_reset_missing
T-074 | refund_pending
T-075 | app_crash
T-076 | damaged_item
T-077 | refund_pending
T-078 | damaged_item
T-079 | refund_pending
T-080 | refund_pending
T-081 | unexpected_fee
T-082 | duplicate_charge
T-083 | password_reset_missing
T-084 | password_reset_missing
T-085 | app_crash
T-086 | refund_pending
T-087 | refund_pending
T-088 | tracking_stalled
T-089 | password_reset_missing
T-090 | tracking_stalled
