T-001 | unexpected_fee
T-002 | unexpected_fee
T-003 | unexpected_fee
T-004 | verification_phone_old
T-005 | verification_phone_old
T-006 | app_crash
T-007 | payment_declined
T-008 | verification_phone_old
T-009 | refund_pending
T-010 | package_not_received
T-011 | tracking_stalled
T-012 | password_reset_missing
T-013 | damaged_item
T-014 | app_crash
T-015 | package_not_received
T-016 | tracking_stalled
T-017 | unexpected_fee
T-018 | app_crash
T-019 | duplicate_charge
T-020 | damaged_item
T-021 | payment_declined
T-022 | password_reset_missing
T-023 | damaged_item
T-024 | duplicate_charge
T-025 | damaged_item
T-026 | refund_pending
T-027 | app_crash
T-028 | payment_declined
T-029 | tracking_stalled
T-030 | tracking_stalled
T-031 | verification_phone_old
T-032 | unexpected_fee
T-033 | app_crash
T-034 | tracking_stalled
T-035 | damaged_item
T-036 | duplicate_charge
T-037 | payment_declined
T-038 | app_crash
T-039 | package_not_received
T-040 | refund_pending
T-041 | package_not_received
T-042 | verification_phone_old
T-043 | payment_declined
T-044 | refund_pending
T-045 | tracking_stalled
T-046 | damaged_item
T-047 | damaged_item
T-048 | unexpected_fee
T-049 | password_reset_missing
T-050 | package_not_received
T-051 | password_reset_missing
T-052 | password_reset_missing
T-053 | payment_declined
T-054 | tracking_stalled
T-055 | duplicate_charge
T-056 | password_reset_missing
T-057 | verification_phone_old
T-058 | refund_pending
T-059 | unexpected_fee
T-060 |

COMPLETED_COUNT: 30
