T-001 | app_crash
T-002 | unexpected_fee
T-003 | password_reset_missing
T-004 | app_crash
T-005 | verification_phone_old
T-006 | damaged_item
T-007 | verification_phone_old
T-008 | payment_declined
T-009 | refund_pending
T-010 | refund_pending
T-011 | damaged_item
T-012 | refund_pending
T-013 | damaged_item
T-014 | tracking_stalled
T-015 | password_reset_missing
T-016 | password_reset_missing
T-017 | refund_pending
T-018 | refund_pending
T-019 | package_not_received
T-020 | damaged_item
T-021 | tracking_stalled
T-022 | tracking_stalled
T-023 | tracking_stalled
T-024 | refund_pending
T-025 | tracking_stalled
T-026 | app_crash
T-027 | password_reset_missing
T-028 | unexpected_fee
T-029 | app_crash
T-030 | package_not_received
T-031 | password_reset_missing
T-032 | unexpected_fee
T-033 | verification_phone_old
T-034 | tracking_stalled
T-035 | unexpected_fee
T-036 | password_reset_missing
T-037 | refund_pending
T-038 | package_not_received
T-039 | package_not_received
T-040 | payment_declined
T-041 | tracking_stalled
T-042 | verification_phone_old
T-043 | refund_pending
T-044 | package_not_received
T-045 | unexpected_fee
T-046 | refund_pending
T-047 | package_not_received
T-048 | refund_pending
T-049 | refund_pending
T-050 | refund_pending
T-051 | tracking_stalled
T-052 | payment_declined
T-053 | refund_pending
T-054 | payment_declined
T-055 | damaged_item
T-056 | damaged_item
T-057 | app_crash
T-058 | app_crash
T-059 | app_crash
T-060 |

COMPLETED_COUNT: 30
