T-001 | damaged_item
T-002 | duplicate_charge
T-003 | app_crash
T-004 | refund_pending
T-005 | damaged_item
T-006 | payment_declined
T-007 | refund_pending
T-008 | refund_pending
T-009 | app_crash
T-010 | app_crash
T-011 | tracking_stalled
T-012 | password_reset_missing
T-013 | refund_pending
T-014 | password_reset_missing
T-015 | unexpected_fee
T-016 | payment_declined
T-017 | refund_pending
T-018 | damaged_item
T-019 | tracking_stalled
T-020 | tracking_stalled
T-021 | password_reset_missing
T-022 | duplicate_charge
T-023 | password_reset_missing
T-024 | tracking_stalled
T-025 | unexpected_fee
T-026 | verification_phone_old
T-027 | damaged_item
T-028 | refund_pending
T-029 | verification_phone_old
T-030 | app_crash
T-031 | tracking_stalled
T-032 | tracking_stalled
T-033 | tracking_stalled
T-034 | unexpected_fee
T-035 | unexpected_fee
T-036 | verification_phone_old
T-037 | damaged_item
T-038 | tracking_stalled
T-039 | unexpected_fee
T-040 | payment_declined
T-041 | verification_phone_old
T-042 | duplicate_charge
T-043 | password_reset_missing
T-044 | payment_declined
T-045 | payment_declined
T-046 | refund_pending
T-047 | tracking_stalled
T-048 | app_crash
T-049 | tracking_stalled
T-050 | unexpected_fee
T-051 | damaged_item
T-052 | duplicate_charge
T-053 | damaged_item
T-054 | password_reset_missing
T-055 | verification_phone_old
T-056 | app_crash
T-057 | verification_phone_old
T-058 | duplicate_charge
T-059 | tracking_stalled
T-060 |
