T-001 | unexpected_fee
T-002 | password_reset_missing
T-003 | password_reset_missing
T-004 | duplicate_charge
T-005 | verification_phone_old
T-006 | verification_phone_old
T-007 | tracking_stalled
T-008 | unexpected_fee
T-009 | verification_phone_old
T-010 | password_reset_missing
T-011 | refund_pending
T-012 | unexpected_fee
T-013 | tracking_stalled
T-014 | unexpected_fee
T-015 | tracking_stalled
T-016 | damaged_item
T-017 | unexpected_fee
T-018 | password_reset_missing
T-019 | unexpected_fee
T-020 | package_not_received
T-021 | damaged_item
T-022 | unexpected_fee
T-023 | refund_pending
T-024 | package_not_received
T-025 | verification_phone_old
T-026 | tracking_stalled
T-027 | tracking_stalled
T-028 | damaged_item
T-029 | unexpected_fee
T-030 | refund_pending
T-031 | unexpected_fee
T-032 | unexpected_fee
T-033 | password_reset_missing
T-034 | tracking_stalled
T-035 | unexpected_fee
T-036 | tracking_stalled
T-037 | unexpected_fee
T-038 | duplicate_charge
T-039 | unexpected_fee
T-040 | package_not_received
T-041 | unexpected_fee
T-042 | package_not_received
T-043 | duplicate_charge
T-044 | unexpected_fee
T-045 | app_crash
T-046 | refund_pending
T-047 | verification_phone_old
T-048 | tracking_stalled
T-049 | unexpected_fee
T-050 | duplicate_charge
T-051 | tracking_stalled
T-052 | damaged_item
T-053 | damaged_item
T-054 | refund_pending
T-055 | unexpected_fee
T-056 | unexpected_fee
T-057 | damaged_item
T-058 | app_crash
T-059 | password_reset_missing
T-060 |

COMPLETED_COUNT: 50
