T-001 | tracking_stalled
T-002 | package_not_received
T-003 | unexpected_fee
T-004 | damaged_item
T-005 | password_reset_missing
T-006 | payment_declined
T-007 | refund_pending
T-008 | tracking_stalled
T-009 | tracking_stalled
T-010 | refund_pending
T-011 | app_crash
T-012 | unexpected_fee
T-013 | unexpected_fee
T-014 | verification_phone_old
T-015 | unexpected_fee
T-016 | damaged_item
T-017 | tracking_stalled
T-018 | payment_declined
T-019 | refund_pending
T-020 | tracking_stalled
T-021 | password_reset_missing
T-022 | verification_phone_old
T-023 | password_reset_missing
T-024 | password_reset_missing
T-025 | payment_declined
T-026 | payment_declined
T-027 | damaged_item
T-028 | unexpected_fee
T-029 | duplicate_charge
T-030 | damaged_item
T-031 | duplicate_charge
T-032 | damaged_item
T-033 | tracking_stalled
T-034 | app_crash
T-035 | duplicate_charge
T-036 | refund_pending
T-037 | payment_declined
T-038 | refund_pending
T-039 | password_reset_missing
T-040 | duplicate_charge
T-041 | duplicate_charge
T-042 | verification_phone_old
T-043 | app_crash
T-044 | tracking_stalled
T-045 | payment_declined
T-046 | refund_pending
T-047 | app_crash
T-048 | tracking_stalled
T-049 | password_reset_missing
T-050 | verification_phone_old
T-051 | damaged_item
T-052 | payment_declined
T-053 | app_crash
T-054 | unexpected_fee
T-055 | tracking_stalled
T-056 | tracking_stalled
T-057 | app_crash
T-058 | verification_phone_old
T-059 | password_reset_missing
T-060 |

COMPLETED_IDS:[T-001, T-002, T-003, T-004, T-005, T-006, T-007, T-008, T-009, T-010, T-011, T-012, T-013, T-014, T-015, T-016, T-017, T-018, T-019, T-020, T-021, T-022, T-023, T-024, T-025, T-026, T-027, T-028, T-029, T-030, T-031, T-032, T-033, T-034, T-035, T-036, T-037, T-038, T-039, T-040, T-041, T-042, T-043, T-044, T-045, T-046, T-047, T-048, T-049, T-050, T-051, T-052, T-053, T-054, T-055, T-056, T-057, T-058, T-059, T-060]
UNFINISHED_IDS: []
FULL_TASK_COMPLETE: YES

Now:

Required IDs: T-001, T-002, T-003, T-004, T-005, T-006, T-007, T-008, T-009, T-010, T-011, T-012, T-013, T-014, T-015, T-016, T-017, T-018, T-019, T-020, T-021, T-022, T-023, T-024, T-025, T-026, T-027, T-028, T-029, T-030, T-031, T-032, T-033, T-034, T-035, T-036, T-037,
