T-001 | payment_declined
T-002 | payment_declined
T-003 | app_crash
T-004 | package_not_received
T-005 | password_reset_missing
T-006 | unexpected_fee
T-007 | verification_phone_old
T-008 | verification_phone_old
T-009 | tracking_stalled
T-010 | tracking_stalled
T-011 | refund_pending
T-012 | password_reset_missing
T-013 | refund_pending
T-014 | duplicate_charge
T-015 | damaged_item
T-016 | duplicate_charge
T-017 | tracking_stalled
T-018 | unexpected_fee
T-019 | app_crash
T-020 |

COMPLETED_COUNT: 17
