T-001 | tracking_stalled
T-002 | password_reset_missing
T-003 | duplicate_charge
T-004 | app_crash
T-005 | damaged_item
T-006 | refund_pending
T-007 | refund_pending
T-008 | damaged_item
T-009 | payment_declined
T-010 | password_reset_missing
T-011 | duplicate_charge
T-012 | package_not_received
T-013 | duplicate_charge
T-014 | damaged_item
T-015 | payment_declined
T-016 | tracking_stalled
T-017 | payment_declined
T-018 | duplicate_charge
T-019 | password_reset_missing
T-020 | unexpected_fee
T-021 | unexpected_fee
T-022 | unexpected_fee
T-023 | refund_pending
T-024 | refund_pending
T-025 | payment_declined
T-026 | password_reset_missing
T-027 | package_not_received
T-028 | package_not_received
T-029 | damaged_item
T-030 | tracking_stalled
T-031 | app_crash
T-032 | password_reset_missing
T-033 | password_reset_missing
T-034 | unexpected_fee
T-035 | tracking_stalled
T-036 | app_crash
T-037 | password_reset_missing
T-038 | package_not_received
T-039 | app_crash
T-040 |

COMPLETED_COUNT: 30
