T-001 | verification_phone_old
T-002 | password_reset_missing
T-003 | password_reset_missing
T-004 | unexpected_fee
T-005 | tracking_stalled
T-006 | password_reset_missing
T-007 | app_crash
T-008 | app_crash
T-009 | verification_phone_old
T-010 | unexpected_fee
T-011 | tracking_stalled
T-012 | verification_phone_old
T-013 | unexpected_fee
T-014 | payment_declined
T-015 | damaged_item
T-016 | verification_phone_old
T-017 | verification_phone_old
T-018 | verification_phone_old
T-019 | tracking_stalled
T-020 | payment_declined
T-021 | duplicate_charge
T-022 | password_reset_missing
T-023 | refund_pending
T-024 | refund_pending
T-025 | tracking_stalled
T-026 | tracking_stalled
T-027 | payment_declined
T-028 | refund_pending
T-029 | damaged_item
T-030 | tracking_stalled
T-031 | duplicate_charge
T-032 | duplicate_charge
T-033 | verification_phone_old
T-034 | unexpected_fee
T-035 | password_reset_missing
T-036 | damaged_item
T-037 | payment_declined
T-038 | duplicate_charge
T-039 | unexpected_fee
T-040 | verification_phone_old
T-041 | damaged_item
T-042 | app_crash
T-043 | tracking_stalled
T-044 | unexpected_fee
T-045 | payment_declined
T-046 | unexpected_fee
T-047 | app_crash
T-048 | password_reset_missing
T-049 | damaged_item
T-050 | payment_declined
T-051 | tracking_stalled
T-052 | password_reset_missing
T-053 | refund_pending
T-054 | app_crash
T-055 | tracking_stalled
T-056 | duplicate_charge
T-057 | tracking_stalled
T-058 | tracking_stalled
T-059 | app_crash
T-060 | payment_declined
T-061 | duplicate_charge
T-062 | refund_pending
T-063 | damaged_item
T-064 | verification_phone_old
T-065 | refund_pending
T-066 | app_crash
T-067 | damaged_item
T-068 | refund_pending
T-069 | tracking_stalled
T-070 | refund_pending
T-071 | processing_charge
T-072 | tracking_stalled
T-073 | tracking_stalled
T-074 | duplicate_charge
T-075 | payment_declined
T-076 | app_crash
T-077 | password_reset_missing
T-078 | duplicate_charge
T-079 | tracking_stalled
T-080 |

COMPLETED_COUNT: 100
