T-001 | unexpected_fee
T-002 | password_reset_missing
T-003 | duplicate_charge
T-004 | duplicate_charge
T-005 | duplicate_charge
T-006 | refund_pending
T-007 | app_crash
T-008 | refund_pending
T-009 | app_crash
T-010 | package_not_received
T-011 | duplicate_charge
T-012 | app_crash
T-013 | app_crash
T-014 | verification_phone_old
T-015 | app_crash
T-016 | app_crash
T-017 | package_not_received
T-018 | unexpected_fee
T-019 | unexpected_fee
T-020 | verification_phone_old
T-021 | refund_pending
T-022 | app_crash
T-023 | password_reset_missing
T-024 | tracking_stalled
T-025 | tracking_stalled
T-026 | payment_declined
T-027 | damaged_item
T-028 | tracking_stalled
T-029 | verification_phone_old
T-030 | damaged_item
T-031 | package_not_received
T-032 | damaged_item
T-033 | app_crash
T-034 | password_reset_missing
T-035 | verification_phone_old
T-036 | damaged_item
T-037 | tracking_stalled
T-038 | duplicate_charge
T-039 | tracking_stalled
T-040 | refund_pending
T-041 | verification_phone_old
T-042 | duplicate_charge
T-043 | tracking_stalled
T-044 | unexpected_fee
T-045 | refund_pending
T-046 | password_reset_missing
T-047 | damaged_item
T-048 | damaged_item
T-049 | payment_declined
T-050 | unexpected_fee
T-051 | duplicate_charge
T-052 | tracking_stalled
T-053 | tracking_stalled
T-054 | duplicate_charge
T-055 | payment_declined
T-056 | password_reset_missing
T-057 | damaged_item
T-058 | tracking_stalled
T-059 | payment_declined
T-060 | payment_declined
T-061 | app_crash
T-062 | password_reset_missing
T-063 | password_reset_missing
T-064 | unexpected_fee
T-065 | damaged_item
T-066 | package_not_received
T-067 | app_crash
T-068 | damaged_item
T-069 | damaged_item
T-070 | unexpected_fee
T-071 | duplicate_charge
T-072 | two_factor_phone_old
T-073 | tracking_stalled
T-074 | refund_pending
T-075 | verification_phone_old
T-076 | payment_declined
T-077 | damaged_item
T-078 | package_not_received
T-079 | payment_declined
T-080 |

COMPLETED_COUNT: 80
