T-001 | tracking_stalled
T-002 | password_reset_missing
T-003 | password_reset_missing
T-004 | app_crash
T-005 | verification_phone_old
T-006 | app_crash
T-007 | app_crash
T-008 | damaged_item
T-009 | unexpected_fee
T-010 | password_reset_missing
T-011 | verification_phone_old
T-012 | package_not_received
T-013 | payment_declined
T-014 | app_crash
T-015 | app_crash
T-016 | damaged_item
T-017 | payment_declined
T-018 | unexpected_fee
T-019 | package_not_received
T-020 | unexpected_fee
T-021 | payment_declined
T-022 | tracking_stalled
T-023 | unexpected_fee
T-024 | damaged_item
T-025 | refund_pending
T-026 | tracking_stalled
T-027 | damaged_item
T-028 | refund_pending
T-029 | payment_declined
T-030 | app_crash
T-031 | payment_declined
T-032 | tracking_stalled
T-033 | unexpected_fee
T-034 | package_not_received
T-035 | package_not_received
T-036 | tracking_stalled
T-037 | password_reset_missing
T-038 | verification_phone_old
T-039 | two_factor_authentication
T-040 | tracking_stalled
T-041 | refund_pending
T-042 | unexpected_fee
T-043 | tracking_stalled
T-044 | tracking_stalled
T-045 | app_crash
T-046 | unexpected_fee
T-047 | damaged_item
T-048 | duplicate_charge
T-049 | tracking_stalled
T-050 | verification_phone_old
T-051 | unexpected_fee
T-052 | damaged_item
T-053 | refund_pending
T-054 | verification_phone_old
T-055 | password_reset_missing
T-056 | duplicate_charge
T-057 | tracking_stalled
T-058 | refund_pending
T-059 | unexpected_fee
T-060 | refund_pending
T-061 | app_crash
T-062 | password_reset_missing
T-063 | verification_phone_old
T-064 | password_reset_missing
T-065 | damaged_item
T-066 | duplicate_charge
T-067 | password_reset_missing
T-068 | payment_declined
T-069 | package_not_received
T-070 | refund_pending
T-071 | duplicate_charge
T-072 | duplicate_charge
T-073 | two_factor_authentication
T-074 | payment_declined
T-075 | damaged_item
T-076 | duplicate_charge
T-077 | unexpected_fee
T-078 | package_not_received
T-079 | payment_declined
T-080 |

COMPLETED_COUNT: 74
