T-001 | damaged_item
T-002 | password_reset_missing
T-003 | verification_phone_old
T-004 | refund_pending
T-005 | refund_pending
T-006 | unexpected_fee
T-007 | package_not_received
T-008 | duplicate_charge
T-009 | tracking_stalled
T-010 | verification_phone_old
T-011 | password_reset_missing
T-012 | verification_phone_old
T-013 | verification_phone_old
T-014 | refund_pending
T-015 | unexpected_fee
T-016 | tracking_stalled
T-017 | payment_declined
T-018 | package_not_received
T-019 | refund_pending
T-020 | duplicate_charge
T-021 | password_reset_missing
T-022 | verification_phone_old
T-023 | tracking_stalled
T-024 | app_crash
T-025 | app_crash
T-026 | unexpected_fee
T-027 | tracking_stalled
T-028 | package_not_received
T-029 | refund_pending
T-030 | damaged_item
T-031 | unexpected_fee
T-032 | package_not_received
T-033 | payment_declined
T-034 | unexpected_fee
T-035 | refund_pending
T-036 | damaged_item
T-037 | app_crash
T-038 | damaged_item
T-039 | app_crash
T-040 | payment_declined
T-041 | damaged_item
T-042 | password_reset_missing
T-043 | verification_phone_old
T-044 | refund_pending
T-045 | duplicate_charge
T-046 | password_reset_missing
T-047 | verification_phone_old
T-048 | tracking_stalled
T-049 | unexpected_fee
T-050 | package_not_received
T-051 | refund_pending
T-052 | duplicate_charge
T-053 | password_reset_missing
T-054 | verification_phone_old
T-055 | tracking_stalled
T-056 | app_crash
T-057 | app_crash
T-058 | unexpected_fee
T-059 | tracking_stalled
T-060 | package_not_received
T-061 | refund_pending
T-062 | unexpected_fee
T-063 | damaged_item
T-064 | password_reset_missing
T-065 | verification_phone_old
T-066 | refund_pending
T-067 | duplicate_charge
T-068 | password_reset_missing
T-069 | verification_phone_old
T-070 | tracking_stalled
T-071 | unexpected_fee
T-072 | package_not_received
T-073 | refund_pending
T-074 | duplicate_charge
T-075 | password_reset_missing
T-076 | verification_phone_old
T-077 | tracking_st
