T-001 | refund_pending
T-002 | verification_phone_old
T-003 | duplicate_charge
T-004 | damaged_item
T-005 | app_crash
T-006 | refund_pending
T-007 | verification_phone_old
T-008 | app_crash
T-009 | damaged_item
T-010 | package_not_received
T-011 | package_not_received
T-012 | refund_pending
T-013 | refund_pending
T-014 | package_not_received
T-015 | unexpected_fee
T-016 | password_reset_missing
T-017 | verification_phone_old
T-018 | app_crash
T-019 | damaged_item
T-020 | damaged_item
T-021 | tracking_stalled
T-022 | password_reset_missing
T-023 | unexpected_fee
T-024 | password_reset_missing
T-025 | duplicate_charge
T-026 | payment_declined
T-027 | duplicate_charge
T-028 | payment_declined
T-029 | tracking_stalled
T-030 | payment_declined
T-031 | verification_phone_old
T-032 | payment_declined
T-033 | damaged_item
T-034 | duplicate_charge
T-035 | tracking_stalled
T-036 | package_not_received
T-037 | password_reset_missing
T-038 | package_not_received
T-039 | app_crash
T-040 | unexpected_fee
T-041 | damaged_item
T-042 | package_not_received
T-043 | refund_pending
T-044 | verification_phone_old
T-045 | duplicate_charge
T-046 | payment_declined
T-047 | duplicate_charge
T-048 | payment_declined
T-049 | tracking_stalled
T-050 | refund_pending
T-051 | password_reset_missing
T-052 | verification_phone_old
T-053 | app_crash
T-054 | damaged_item
T-055 | tracking_stalled
T-056 | package_not_received
T-057 | password_reset_missing
T-058 | package_not_received
T-059 | app_crash
T-060 | unexpected_fee
T-061 | password_reset_missing
T-062 | payment_declined
T-063 | duplicate_charge
T-064 | payment_declined
T-065 | tracking_stalled
T-066 | refund_pending
T-067 | verification_phone_old
T-068 | duplicate_charge
T-069 | payment_declined
T-070 | tracking_stalled
T-071 | refund_pending
T-072 | password_reset_missing
T-073 | verification_phone_old
T-074 | app_crash
T-075 | damaged_item
T-076 | tracking_stalled
T-07
