T-001 | unexpected_fee
T-002 | unexpected_fee
T-003 | package_not_received
T-004 | tracking_stalled
T-005 | verification_phone_old
T-006 | password_reset_missing
T-007 | unexpected_fee
T-008 | unexpected_fee
T-009 | verification_phone_old
T-010 | damaged_item
T-011 | unexpected_fee
T-012 | app_crash
T-013 | app_crash
T-014 | damaged_item
T-015 | damaged_item
T-016 | tracking_stalled
T-017 | app_crash
T-018 | refund_pending
T-019 | tracking_stalled
T-020 | unexpected_fee
T-021 | unexpected_fee
T-022 | tracking_stalled
T-023 | unexpected_fee
T-024 | unexpected_fee
T-025 | verification_phone_old
T-026 | verification_phone_old
T-027 | damaged_item
T-028 | tracking_stalled
T-029 | payment_declined
T-030 | app_crash
T-031 | payment_declined
T-032 | password_reset_missing
T-033 | payment_declined
T-034 | payment_declined
T-035 | package_not_received
T-036 | unexpected_fee
T-037 | password_reset_missing
T-038 | damaged_item
T-039 | refund_pending
T-040 | app_crash
T-041 | package_not_received
T-042 | damaged_item
T-043 | unexpected_fee
T-044 | verification_phone_old
T-045 | tracking_stalled
T-046 | password_reset_missing
T-047 | password_reset_missing
T-048 | tracking_stalled
T-049 | refund_pending
T-050 | refund_pending
T-051 | refund_pending
T-052 | password_reset_missing
T-053 | unexpected_fee
T-054 | refund_pending
T-055 | payment_declined
T-056 | refund_pending
T-057 | tracking_stalled
T-058 | password_reset_missing
T-059 | app_crash
T-060 | tracking_stalled

59
