T-001 | password_reset_missing
T-002 | app_crash
T-003 | tracking_stalled
T-004 | app_crash
T-005 | tracking_stalled
T-006 | app_crash
T-007 | verification_phone_old
T-008 | refund_pending
T-009 | verification_phone_old
T-010 | duplicate_charge
T-011 | refund_pending
T-012 | package_not_received
T-013 | package_not_received
T-014 | app_crash
T-015 | password_reset_missing
T-016 | payment_declined
T-017 | refund_pending
T-018 | damaged_item
T-019 | package_not_received
T-020 | app_crash
T-021 | verification_phone_old
T-022 | unexpected_fee
T-023 | refund_pending
T-024 | tracking_stalled
T-025 | unexpected_fee
T-026 | package_not_received
T-027 | password_reset_missing
T-028 | unexpected_fee
T-029 | verification_phone_old
T-030 | unexpected_fee
T-031 | duplicate_charge
T-032 | app_crash
T-033 | package_not_received
T-034 | damaged_item
T-035 | refund_pending
T-036 | app_crash
T-037 | unexpected_fee
T-038 | verification_phone_old
T-039 | password_reset_missing
T-040 | duplicate_charge
T-041 | duplicate_charge
T-042 | app_crash
T-043 | refund_pending
T-044 | tracking_stalled
T-045 | damaged_item
T-046 | duplicate_charge
T-047 | refund_pending
T-048 | payment_declined
T-049 | damaged_item
T-050 | password_reset_missing
T-051 | unexpected_fee
T-052 | damaged_item
T-053 | payment_declined
T-054 | payment_declined
T-055 | tracking_stalled
T-056 | password_reset_missing
T-057 | package_not_received
T-058 | verification_phone_old
T-059 | payment_declined
T-060 | payment_declined

59
