T-001 | verification_phone_old
T-002 | package_not_received
T-003 | package_not_received
T-004 | password_reset_missing
T-005 | app_crash
T-006 | unexpected_fee
T-007 | tracking_stalled
T-008 | password_reset_missing
T-009 | refund_pending
T-010 | verification_phone_old
T-011 | unexpected_fee
T-012 | damaged_item
T-013 | app_crash
T-014 | refund_pending
T-015 | unexpected_fee
T-016 | duplicate_charge
T-017 | tracking_stalled
T-018 | refund_pending
T-019 | damaged_item
T-020 | unexpected_fee

10
