T-001 | app_crash
T-002 | app_crash
T-003 | payment_declined
T-004 | tracking_stalled
T-005 | payment_declined
T-006 | duplicate_charge
T-007 | damaged_item
T-008 | tracking_stalled
T-009 | duplicate_charge
T-010 | app_crash
T-011 | tracking_stalled
T-012 | tracking_stalled
T-013 | unexpected_fee
T-014 | password_reset_missing
T-015 | verification_phone_old
T-016 | package_not_received
T-017 | damaged_item
T-018 | refund_pending
T-019 | refund_pending
T-020 | damaged_item
T-021 | duplicate_charge
T-022 | duplicate_charge
T-023 | password_reset_missing
T-024 | tracking_stalled
T-025 | app_crash
T-026 | password_reset_missing
T-027 | password_reset_missing
T-028 | package_not_received
T-029 | unexpected_fee
T-030 | duplicate_charge
T-031 | duplicate_charge
T-032 | password_reset_missing
T-033 | verification_phone_old
T-034 | verification_phone_old
T-035 | package_not_received
T-036 | tracking_stalled
T-037 | refund_pending
T-038 | payment_declined
T-039 | payment_declined
T-040 | verification_phone_old
T-041 | damaged_item
T-042 | damaged_item
T-043 | unexpected_fee
T-044 | app_crash
T-045 | app_crash
T-046 | tracking_stalled
T-047 | package_not_received
T-048 | damaged_item
T-049 | app_crash
T-050 | unexpected_fee
T-051 | tracking_stalled
T-052 | damaged_item
T-053 | duplicate_charge
T-054 | unexpected_fee
T-055 | verification_phone_old
T-056 | verification_phone_old
T-057 | damaged_item
T-058 | password_reset_missing
T-059 | password_reset_missing
T-060 | tracking_stalled
T-061 | unexpected_fee
T-062 | refund_pending
T-063 | damaged_item
T-064 | unexpected_fee
T-065 | app_crash
T-066 | duplicate_charge
T-067 | app_crash
T-068 | unexpected_fee
T-069 | unexpected_fee
T-070 | refund_pending
T-071 | duplicate_charge
T-072 | tracking_stalled
T-073 | refund_pending
T-074 | password_reset_missing
T-075 | payment_declined
T-076 | package_not_received

[T-001, T-002, T-003, T-004, T-005, T-006, T-007, T-008, T-009, T-010, T-011, T-012, T-013, T-014, T-015, T-016, T-017, T-018, T-019, T-020, T-021, T-022, T-023, T-024, T-025, T-026, T-027, T-028, T-029, T-030, T-031, T-032, T-033, T-034, T-035, T-036, T-037, T-038, T-039, T-040, T-041, T-042, T-043, T-044, T-045, T-046, T-047, T-048, T-049, T-050, T-051, T-052, T-053, T-054, T-055, T-056, T-057, T-058, T-059, T-060, T-061, T-062, T-063, T-064, T-065, T-066, T-067, T-068, T-069, T-070, T-071, T-072, T-073, T-074, T-075, T-076]
UNFINISHED_IDS: []
FULL_TASK_COMPLETE: YES
