T-001 | tracking_stalled
T-002 | password_reset_missing
T-003 | tracking_stalled
T-004 | damaged_item
T-005 | payment_declined
T-006 | refund_pending
T-007 | tracking_stalled
T-008 | duplicate_charge
T-009 | tracking_stalled
T-010 | tracking_stalled
T-011 | damaged_item
T-012 | duplicate_charge
T-013 | unexpected_fee
T-014 | package_not_received
T-015 | refund_pending
T-016 | unexpected_fee
T-017 | payment_declined
T-018 | damaged_item
T-019 | unexpected_fee
T-020 | unexpected_fee
T-021 | refund_pending
T-022 | tracking_stalled
T-023 | damaged_item
T-024 | payment_declined
T-025 | tracking_stalled
T-026 | duplicate_charge
T-027 | tracking_stalled
T-028 | refund_pending
T-029 | damaged_item
T-030 | app_crash
T-031 | damaged_item
T-032 | refund_pending
T-033 | password_reset_missing
T-034 | password_reset_missing
T-035 | refund_pending
T-036 | tracking_stalled
T-037 | password_reset_missing
T-038 | tracking_stalled
T-039 | package_not_received
T-040 | app_crash
T-041 | unexpected_fee
T-042 | verification_phone_old
T-043 | unexpected_fee
T-044 | app_crash
T-045 | verification_phone_old
T-046 | password_reset_missing
T-047 | app_crash
T-048 | payment_declined
T-049 | refund_pending
T-050 | refund_pending
T-051 | damaged_item
T-052 | tracking_stalled
T-053 | app_crash
T-054 | payment_declined
T-055 | payment_declined
T-056 | tracking_stalled
T-057 | verification_phone_old
T-058 | password_reset_missing
T-059 | duplicate_charge
T-060 | verification_phone_old
T-061 | package_not_received
T-062 | verification_phone_old
T-063 | payment_declined
T-064 | password_reset_missing
T-065 | verification_phone_old
T-066 | password_reset_missing
T-067 | damaged_item
T-068 | app_crash
T-069 | refund_pending
T-070 | refund_pending
T-071 | unexpected_fee
T-072 | refund_pending
T-073 | payment_declined
T-074 | app_crash
T-075 | verification_phone_old
T-076 | app_crash
