T-001 | unexpected_fee
T-002 | package_not_received
T-003 | tracking_stalled
T-004 | refund_pending
T-005 | duplicate_charge
T-006 | password_reset_missing
T-007 | payment_declined
T-008 | verification_phone_old
T-009 | verification_phone_old
T-010 | verification_phone_old
T-011 | app_crash
T-012 | password_reset_missing
T-013 | verification_phone_old
T-014 | password_reset_missing
T-015 | duplicate_charge
T-016 | app_crash
T-017 | app_crash
T-018 | tracking_stalled
T-019 | damaged_item
T-020 | damaged_item
T-021 | app_crash
T-022 | app_crash
T-023 | tracking_stalled
T-024 | duplicate_charge
T-025 | payment_declined
T-026 | password_reset_missing
T-027 | refund_pending
T-028 | refund_pending
T-029 | unexpected_fee
T-030 | tracking_stalled
T-031 | tracking_stalled
T-032 | unexpected_fee
T-033 | tracking_stalled
T-034 | app_crash
T-035 | unexpected_fee
T-036 | tracking_stalled
T-037 | tracking_stalled
T-038 | app_crash
T-039 | damaged_item
T-040 | unexpected_fee
T-041 | unexpected_fee
T-042 | tracking_stalled
T-043 | password_reset_missing
T-044 | payment_declined
T-045 | duplicate_charge
T-046 | damaged_item
T-047 | verification_phone_old
T-048 | tracking_stalled
T-049 | password_reset_missing
T-050 | app_crash
T-051 | app_crash
T-052 | payment_declined
T-053 | verification_phone_old
T-054 | app_crash
T-055 | refund_pending
T-056 | tracking_stalled
T-057 | duplicate_charge
T-058 | payment_declined
T-059 | unexpected_fee
T-060 |
