T-001 | damaged_item
T-002 | two_factor_authentication
T-003 | tracking_stalled
T-004 | unexpected_fee
T-005 | damaged_item
T-006 | unexpected_fee
T-007 | app_crash
T-008 | unexpected_fee
T-009 | password_reset_missing
T-010 | app_crash
T-011 | refund_pending
T-012 | damaged_item
T-013 | tracking_stalled
T-014 | tracking_stalled
T-015 | unexpected_fee
T-016 | tracking_stalled
T-017 | app_crash
T-018 | payment_declined
T-019 | tracking_stalled
T-020 | duplicate_charge
T-021 | payment_declined
T-022 | duplicate_charge
T-023 | password_reset_missing
T-024 | password_reset_missing
T-025 | damaged_item
T-026 | tracking_stalled
T-027 | damaged_item
T-028 | damaged_item
T-029 | duplicate_charge
T-030 | tracking_stalled
T-031 | duplicate_charge
T-032 | damaged_item
T-033 | tracking_stalled
T-034 | app_crash
T-035 | payment_declined
T-036 | tracking_stalled
T-037 | password_reset_missing
T-038 | password_reset_missing
T-039 | payment_declined
T-040 | account_verification
T-041 | payment_declined
T-042 | password_reset_missing
T-043 | tracking_stalled
T-044 | refund_pending
T-045 | refund_pending
T-046 | duplicate_charge
T-047 | duplicate_charge
T-048 | tracking_stalled
T-049 | unexpected_fee
T-050 | app_crash
T-051 | tracking_stalled
T-052 | app_crash
T-053 | refund_pending
T-054 | payment_declined
T-055 | unexpected_fee
T-056 | damaged_item
T-057 | password_reset_missing
T-058 | password_reset_missing
T-059 | account_verification
T-060 |
