T-001 | damaged_item
T-002 | password_reset_missing
T-003 | app_crash
T-004 | refund_pending
T-005 | damaged_item
T-006 | payment_declined
T-007 | damaged_item
T-008 | tracking_stalled
T-009 | tracking_stalled
T-010 | damaged_item
T-011 | damaged_item
T-012 | app_crash
T-013 | unexpected_fee
T-014 | refund_pending
T-015 | unexpected_fee
T-016 | tracking_stalled
T-017 | tracking_stalled
T-018 | tracking_stalled
T-019 | verification_phone_old
T-020 | tracking_stalled
T-021 | tracking_stalled
T-022 | unexpected_fee
T-023 | payment_declined
T-024 | tracking_stalled
T-025 | damaged_item
T-026 | verification_phone_old
T-027 | refund_pending
T-028 | app_crash
T-029 | verification_phone_old
T-030 | unexpected_fee
T-031 | damaged_item
T-032 | refund_pending
T-033 | refund_pending
T-034 | damaged_item
T-035 | damaged_item
T-036 | payment_declined
T-037 | duplicate_charge
T-038 | payment_declined
T-039 | tracking_stalled
T-040 | duplicate_charge
T-041 | unexpected_fee
T-042 | verification_phone_old
T-043 | verification_phone_old
T-044 | password_reset_missing
T-045 | refund_pending
T-046 | app_crash
T-047 | refund_pending
T-048 | tracking_stalled
T-049 | verification_phone_old
T-050 | tracking_stalled
T-051 | app_crash
T-052 | app_crash
T-053 | tracking_stalled
T-054 | unexpected_fee
T-055 | duplicate_charge
T-056 | refund_pending
T-057 | refund_pending
T-058 | payment_declined
T-059 | duplicate_charge
T-060 | password_reset_missing
T-061 | tracking_stalled
T-062 | password_reset_missing
T-063 | duplicate_charge
T-064 | password_reset_missing
T-065 | app_crash
T-066 | verification_phone_old
T-067 | unexpected_fee
T-068 | damaged_item
T-069 | payment_declined
T-070 | damaged_item
T-071 | verification_phone_old
T-072 | tracking_stalled
T-073 | password_reset_missing
T-074 | tracking_stalled
T-075 | tracking_stalled
T-076 | unexpected_fee
T-077 | unexpected_fee
T-078 | verification_phone_old
T-079 | tracking_stalled
T-080 | password_reset_missing
T-081 | damaged_item
T-082 | refund_pending
T-083 | payment_declined
T-084 | tracking_stalled
T-085 | unexpected_fee
T-086 | payment_declined
T-087 | app_crash
T-088 | unexpected_fee
T-089 | tracking_stalled
T-090 | refund_pending
T-091 | unexpected_fee
T-092 | active_card_not_accepted
T-093 | duplicate_charge
T-094 | verification_phone_old
T-095 | duplicate_charge
T-096 | duplicate_charge
T-097 | damaged_item
T-098 | tracking_stalled
T-099 | duplicate_charge
T-100 | unexpected_fee
T-101 | tracking_stalled
T-102 | verification_phone_old
T-103 | password_reset_missing
T-104 | app_crash
T-105 | app_crash
T-106 | package_not_received
T-107 | password_reset_missing
T-108 | damaged_item
T-109 | password_reset_missing
T-110 | app_crash
T-111 | payment_declined
T-112 | refund_pending
T-113 | duplicate_charge
T-114 | app_crash
T-115 | unexpected_fee
T-116 | verification_phone_old
T-117 | verification_phone_old
T-118 | damaged_item
T-119 | password_reset_missing
T-120 | payment_declined
T-121 | duplicate_charge
T-122 | password_reset_missing
T-123 | damaged_item
T-124 | package_not_received
T-125 | app_crash
