Completion report examples:

Required IDs: T-001, T-002, T-003
Response:
T-001 | app_crash
T-002 | refund_pending
COMPLETED_COUNT: 2

Required IDs: T-001, T-002
Response:
T-001 | damaged_item
T-002 | payment_declined
COMPLETED_COUNT: 2

Now:

Required IDs: T-001, T-002, T-003, T-004, T-005, T-006, T-007, T-008, T-009, T-010, T-011, T-012, T-013, T-014, T-015, T-016, T-017, T-018, T-019, T-020, T-021, T-022, T-023, T-024, T-025, T-026, T-027, T-028, T-029, T-030, T-031, T-032, T-033, T-034, T-035, T-036, T-037, T-038, T-039, T-040, T-041, T-042, T-043, T-044, T-045, T-046, T-047, T-048, T-049, T-050, T-051, T-052, T-053, T-054, T-055, T-056, T-057, T-058, T-059, T-060, T-061, T-062, T-063, T-064, T-065, T-066, T-067, T-068, T-069, T-070, T-071, T-072, T-073, T-074, T-075, T-076, T-077, T-078, T-079, T-080, T-081, T-082, T-083, T-084, T-085, T-086, T-087, T-088, T-089, T-090, T-091, T-092, T-093, T-094, T-095, T-096, T-097, T-098, T-099, T-100, T-101, T-102, T-103, T-104, T-105, T-106, T-107, T-108, T-109, T-110, T-111, T-112, T-113, T-114, T-115, T-116, T-117, T-118, T-119, T-120, T-121, T-122, T-123, T-124, T-125
Response:
T-001 | refund_pending
T-002 | duplicate_charge
T-003 | tracking_stalled
T-004 | app_crash
T-005 | damaged_item
T-006 | password_reset_missing
T-007 | payment_declined
T-008 | payment_declined
T-009 | unexpected_fee
T-010 | package_not_received
T-011 | verification_phone_old
T-012 | damaged_item
T-013 | verification_phone_old
T-014 | damaged_item
T-015 | unexpected_fee
T-016 | verification_phone_old
T-017 | refund_pending
T-018 | tracking_stalled
T-019 | refund_pending
T-020 | app_crash
T-021 | verification_phone_old
T-022 | damaged_item
T-023 | unexpected_fee
T-024 | refund_pending
T-025 | refund_pending
T-026 | app_crash
T-027 | tracking_stalled
T-028 | password_reset_missing
T-029 | tracking_stalled
T-030 | damaged_item
T-031 | payment_declined
T-032 | verification_phone_old
T-033 | password_reset_missing
T-034 | unexpected_fee
T-035 | payment_declined
T-036 | verification_phone_old
T-037 | unexpected_fee
T-038 | tracking_stalled
T-039 | verification_phone_old
T-040 | package_not_received
T-041 | duplicate_charge
T-042 | damaged_item
T-043 | package_not_received
T-044 | damaged_item
T-045 | refund_pending
T-046 | duplicate_charge
T-047 | tracking_stalled
T-048 | duplicate_charge
T-049 | app_crash
T-050 | tracking_stalled
T-051 | damaged_item
T-052 | password_reset_missing
T-053 | package_not_received
T-054 | app_crash
T-055 | app_crash
T-056 | password_reset_missing
T-057 | refund_pending
T-058 | duplicate_charge
T-059 | tracking_stalled
T-060 | duplicate_charge
T-061 | payment_declined
T-062 | payment_declined
T-063 | password_reset_missing
T-064 | duplicate_charge
T-065 | unexpected_fee
T-066 | payment_declined
T-067 | unexpected_fee
T-068 | verification_phone_old
T-069 | damaged_item
T-070 | password_reset_missing
T-071 | verification_phone_old
T-072 | duplicate_charge
T-073 | unexpected_fee
T-074 | tracking_stalled
T-075 | damaged_item
T-076 | app_crash
T-077 | app_crash
T-078 | package_not_received
T-079 | password_reset_missing
T-080 | app_crash
T-081 | duplicate_charge
T-082 | refund_pending
T-083 | refund_pending
T-084 | password_reset_missing
T-085 | refund_pending
T-086 | unexpected_fee
T-087 | app_crash
T-088 | password_reset_missing
T-089 | app_crash
T-090 | app_crash
T-091 | payment_declined
T-092 | password_reset_missing
T-093 | tracking_stalled
T-094 | payment_declined
T-095 | payment_declined
T-096 | package_not_received
T-097 | unexpected_fee
T-098 | verification_phone_old
T-099 | payment_declined
T-100 | verification_phone_old
T-101 | app_crash
T-102 | package_not_received
T-103 | tracking_stalled
T-104 | duplicate_charge
T-105 | tracking_stalled
T-106 | tracking_stalled
T-107 | refund_pending
T-108 | duplicate_charge
T-109 | package_not_received
T-110 | duplicate_charge
T-111 | damaged_item
T-112 | unexpected_fee
T-113 | damaged_item
T-114 | password_reset_missing
T-115 | payment_declined
T-116 | verification_phone_old
T-117 | damaged_item
T-118 | tracking_stalled
T-119 | damaged_item
T-120 | package_not_received
T-121 | password_reset_missing
T-122 | package_not_received
T-123 | damaged_item
T-124 | unexpected_fee
T-125 | duplicate_charge
COMPLETED_COUNT:
