T-001 | payment_declined
T-002 | unexpected_fee
T-003 | verification_phone_old
T-004 | app_crash
T-005 | verification_phone_old
T-006 | damaged_item
T-007 | verification_phone_old
T-008 | payment_declined
T-009 | duplicate_charge
T-010 | refund_pending
T-011 | damaged_item
T-012 | duplicate_charge
T-013 | damaged_item
T-014 | tracking_stalled
T-015 | password_reset_missing
T-016 | password_reset_missing
T-017 | refund_pending
T-018 | package_not_received
T-019 | package_not_received
T-020 | damaged_item
T-021 | tracking_stalled
T-022 | verification_phone_old
T-023 | tracking_stalled
T-024 | duplicate_charge
T-025 | tracking_stalled
T-026 | app_crash
T-027 | password_reset_missing
T-028 | unexpected_fee
T-029 | app_crash
T-030 | package_not_received
T-031 | password_reset_missing
T-032 | unexpected_fee
T-033 | verification_phone_old
T-034 | tracking_stalled
T-035 | unexpected_fee
T-036 | password_reset_missing
T-037 | unexpected_fee
T-038 | payment_declined
T-039 | package_not_received
T-040 | payment_declined
T-041 | tracking_stalled
T-042 | verification_phone_old
T-043 | refund_pending
T-044 | package_not_received
T-045 | unexpected_fee
T-046 | refund_pending
T-047 | package_not_received
T-048 | duplicate_charge
T-049 | duplicate_charge
T-050 | duplicate_charge
T-051 | package_not_received
T-052 | payment_declined
T-053 | refund_pending
T-054 | payment_declined
T-055 | damaged_item
T-056 | damaged_item
T-057 | app_crash
T-058 | app_crash
T-059 | app_crash
T-060 | password_reset_missing
