T-001 | tracking_stalled
T-002 | tracking_stalled
T-003 | unexpected_fee
T-004 | damaged_item
T-005 | password_reset_missing
T-006 | duplicate_charge
T-007 | refund_pending
T-008 | tracking_stalled
T-009 | tracking_stalled
T-010 | refund_pending
T-011 | app_crash
T-012 | unexpected_fee
T-013 | unexpected_fee
T-014 | verification_phone_old
T-015 | unexpected_fee
T-016 | damaged_item
T-017 | tracking_stalled
T-018 | payment_declined
T-019 | refund_pending
T-020 | tracking_stalled
T-021 | verification_phone_old
T-022 | verification_phone_old
T-023 | password_reset_missing
T-024 | password_reset_missing
T-025 | payment_declined
T-026 | payment_declined
T-027 | damaged_item
T-028 | unexpected_fee
T-029 | duplicate_charge
T-030 | damaged_item
T-031 | duplicate_charge
T-032 | damaged_item
T-033 | tracking_stalled
T-034 | app_crash
T-035 | duplicate_charge
T-036 | refund_pending
T-037 | payment_declined
T-038 | refund_pending
T-039 | password_reset_missing
T-040 | duplicate_charge
T-041 | duplicate_charge
T-042 | verification_phone_old
T-043 | app_crash
T-044 | tracking_stalled
T-045 | payment_declined
T-046 | refund_pending
T-047 | app_crash
T-048 | tracking_stalled
T-049 | password_reset_missing
T-050 | verification_phone_old
T-051 | damaged_item
T-052 | payment_declined
T-053 | app_crash
T-054 | unexpected_fee
T-055 | tracking_stalled
T-056 | tracking_stalled
T-057 | app_crash
T-058 | verification_phone_old
T-059 | password_reset_missing
T-060 | tracking_stalled

COMPLETED_COUNT: 30
