T-001 | verification_phone_old
T-002 | duplicate_charge
T-003 | verification_phone_old
T-004 | payment_declined
T-005 | tracking_stalled
T-006 | unexpected_fee
T-007 | refund_pending
T-008 | payment_declined
T-009 | duplicate_charge
T-010 | refund_pending
T-011 | damaged_item
T-012 | tracking_stalled
T-013 | payment_declined
T-014 | unexpected_fee
T-015 | package_not_received
T-016 | tracking_stalled
T-017 | duplicate_charge
T-018 | app_crash
T-019 | damaged_item
T-020 | package_not_received
T-021 | app_crash
T-022 | package_not_received
T-023 | package_not_received
T-024 | payment_declined
T-025 | duplicate_charge
T-026 | damaged_item
T-027 | unexpected_fee
T-028 | unexpected_fee
T-029 | damaged_item
T-030 | password_reset_missing
T-031 | package_not_received
T-032 | refund_pending
T-033 | password_reset_missing
T-034 | unexpected_fee
T-035 | tracking_stalled
T-036 | payment_declined
T-037 | tracking_stalled
T-038 | refund_pending
T-039 | tracking_stalled
T-040 | duplicate_charge
T-041 | unexpected_fee
T-042 | tracking_stalled
T-043 | refund_pending
T-044 | password_reset_missing
T-045 | verification_phone_old
T-046 | package_not_received
T-047 | unexpected_fee
T-048 | damaged_item
T-049 | unexpected_fee
T-050 | damaged_item
T-051 | payment_declined
T-052 | verification_phone_old
T-053 | damaged_item
T-054 | tracking_stalled
T-055 | damaged_item
T-056 | verification_phone_old
T-057 | verification_phone_old
T-058 | refund_pending
T-059 | verification_phone_old
T-060 | damaged_item
T-061 | password_reset_missing
T-062 | package_not_received
T-063 | package_not_received
T-064 | damaged_item
T-065 | duplicate_charge
T-066 | tracking_stalled
T-067 | payment_declined
T-068 | password_reset_missing
T-069 | app_crash
T-070 | duplicate_charge
T-071 | duplicate_charge
T-072 | payment_declined
T-073 | verification_phone_old
T-074 | app_crash
T-075 | app_crash
T-076 | refund_pending
T-077 | app_crash
T-078 | password_reset_missing
T-079 | package_not_received
T-080 | verification_phone_old
T-081 | refund_pending
T-082 | password_reset_missing
T-083 | package_not_received
T-084 | refund_pending
T-085 | unexpected_fee
T-086 | app_crash
T-087 | tracking_stalled
T-088 | password_reset_missing
T-089 | password_reset_missing
T-090 | unexpected_fee
T-091 | duplicate_charge
T-092 | password_reset_missing
T-093 | duplicate_charge
T-094 | payment_declined
T-095 | app_crash
T-096 | payment_declined
T-097 | app_crash
T-098 | refund_pending
T-099 | app_crash
T-100 | verification_phone_old

COMPLETED_COUNT: 100
