Completion report examples:

Required IDs: T-001, T-002, T-003
Response:
T-001 | app_crash
T-002 | refund_pending
COMPLETED_COUNT: 2

Required IDs: T-001, T-002
Response:
T-001 | damaged_item
T-002 | payment_declined
COMPLETED_COUNT: 2

Now:

Required IDs: T-001, T-002, T-003, T-004, T-005, T-006, T-007, T-008, T-009, T-010, T-011, T-012, T-013, T-014, T-015, T-016, T-017, T-018, T-019, T-020, T-021, T-022, T-023, T-024, T-025, T-026, T-027, T-028, T-029, T-030, T-031, T-032, T-033, T-034, T-035, T-036, T-037, T-038, T-039, T-040, T-041, T-042, T-043, T-044, T-045, T-046, T-047, T-048, T-049, T-050, T-051, T-052, T-053, T-054, T-055, T-056, T-057, T-058, T-059, T-060, T-061, T-062, T-063, T-064, T-065, T-066, T-067, T-068, T-069, T-070, T-071, T-072, T-073, T-074, T-075, T-076, T-077, T-078, T-079, T-080, T-081, T-082, T-083, T-084, T-085, T-086, T-087, T-088, T-089, T-090, T-091, T-092, T-093, T-094, T-095, T-096, T-097, T-098, T-099, T-100
Response:
T-001 | duplicate_charge
T-002 | verification_phone_old
T-003 | payment_declined
T-004 | payment_declined
T-005 | duplicate_charge
T-006 | payment_declined
T-007 | app_crash
T-008 | payment_declined
T-009 | refund_pending
T-010 | damaged_item
T-011 | payment_declined
T-012 | unexpected_fee
T-013 | verification_phone_old
T-014 | tracking_stalled
T-015 | tracking_stalled
T-016 | app_crash
T-017 | password_reset_missing
T-018 | payment_declined
T-019 | refund_pending
T-020 | app_crash
T-021 | unexpected_fee
T-022 | unexpected_fee
T-023 | app_crash
T-024 | duplicate_charge
T-025 | app_crash
T-026 | password_reset_missing
T-027 | password_reset_missing
T-028 | tracking_stalled
T-029 | verification_phone_old
T-030 | damaged_item
T-031 | tracking_stalled
T-032 | refund_pending
T-033 | refund_pending
T-034 | refund_pending
T-035 | unexpected_fee
T-036 | unexpected_fee
T-037 | damaged_item
T-038 | verification_phone_old
T-039 | duplicate_charge
T-040 | tracking_stalled
T-041 | payment_declined
T-042 | verification_phone_old
T-043 | tracking_stalled
T-044 | damaged_item
T-045 | verification_phone_old
T-046 | password_reset_missing
T-047 | duplicate_charge
T-048 | verification_phone_old
T-049 | unexpected_fee
T-050 | app_crash
T-051 | damaged_item
T-052 | damaged_item
T-053 | damaged_item
T-054 | password_reset_missing
T-055 | app_crash
T-056 | payment_declined
T-057 | verification_phone_old
T-058 | password_reset_missing
T-059 | verification_phone_old
T-060 | tracking_stalled
T-061 | damaged_item
T-062 | damaged_item
T-063 | password_reset_missing
T-064 | password_reset_missing
T-065 | unexpected_fee
T-066 | damaged_item
T-067 | payment_declined
T-068 | damaged_item
T-069 | duplicate_charge
T-070 | damaged_item
T-071 | damaged_item
T-072 | app_crash
T-073 | refund_pending
T-074 | tracking_stalled
T-075 | unexpected_fee
T-076 | duplicate_charge
T-077 | password_reset_missing
T-078 | app_crash
T-079 | tracking_stalled
T-080 | refund_pending
T-081 | unexpected_fee
T-082 | tracking_stalled
T-083 | damaged_item
T-084 | duplicate_charge
T-085 | damaged_item
T-086 | damaged_item
T-087 | password_reset_missing
T-088 | duplicate_charge
T-089 | damaged_item
T-090 | verification_phone_old
T-091 | damaged_item
T-092 | refund_pending
T-093 | payment_declined
T-094 | unexpected_fee
T-095 | refund_pending
T-096 | damaged_item
T-097 | duplicate_charge
T-098 | damaged_item
T-099 | refund_pending
T-100 | app_crash
COMPLETED_COUNT:
