T-001 | duplicate_charge
T-002 | verification_phone_old
T-003 | payment_declined
T-004 | payment_declined
T-005 | duplicate_charge
T-006 | payment_declined
T-007 | app_crash
T-008 | payment_declined
T-009 | refund_pending
T-010 | damaged_item
T-011 | payment_declined
T-012 | unexpected_fee
T-013 | verification_phone_old
T-014 | tracking_stalled
T-015 | tracking_stalled
T-016 | app_crash
T-017 | password_reset_missing
T-018 | payment_declined
T-019 | refund_pending
T-020 | app_crash
T-021 | unexpected_fee
T-022 | unexpected_fee
T-023 | app_crash
T-024 | duplicate_charge
T-025 | app_crash
T-026 | password_reset_missing
T-027 | password_reset_missing
T-028 | tracking_stalled
T-029 | verification_phone_old
T-030 | damaged_item
T-031 | tracking_stalled
T-032 | refund_pending
T-033 | refund_pending
T-034 | refund_pending
T-035 | unexpected_fee
T-036 | unexpected_fee
T-037 | damaged_item
T-038 | verification_phone_old
T-039 | duplicate_charge
T-040 | tracking_stalled
T-041 | payment_declined
T-042 | verification_phone_old
T-043 | tracking_stalled
T-044 | damaged_item
T-045 | verification_phone_old
T-046 | password_reset_missing
T-047 | duplicate_charge
T-048 | verification_phone_old
T-049 | unexpected_fee
T-050 | app_crash
T-051 | damaged_item
T-052 | damaged_item
T-053 | damaged_item
T-054 | password_reset_missing
T-055 | app_crash
T-056 | payment_declined
T-057 | verification_phone_old
T-058 | password_reset_missing
T-059 | verification_phone_old
T-060 | tracking_stalled
T-061 | damaged_item
T-062 | damaged_item
T-063 | password_reset_missing
T-064 | password_reset_missing
T-065 | unexpected_fee
T-066 | damaged_item
T-067 | payment_declined
T-068 | damaged_item
T-069 | duplicate_charge
T-070 | damaged_item
T-071 | damaged_item
T-072 | app_crash
T-073 | refund_pending
T-074 | tracking_stalled
T-075 | unexpected_fee
T-076 | duplicate_charge
T-077 | password_reset_missing
T-078 | app_crash
T-079 | tracking_stalled
T-080 | refund_pending
T-081 | unexpected_fee
T-082 | tracking_stalled
T-083 | damaged_item
T-084 | duplicate_charge
T-085 | damaged_item
T-086 | damaged_item
T-087 | password_reset_missing
T-088 | duplicate_charge
T-089 | damaged_item
T-090 | verification_phone_old
T-091 | damaged_item
T-092 | refund_pending
T-093 | payment_declined
T-094 | unexpected_fee
T-095 | refund_pending
T-096 | damaged_item
T-097 | duplicate_charge
T-098 | damaged_item
T-099 | refund_pending
T-100 | app_crash

COMPLETED_COUNT: 100
