T-001 | verification_phone_old
T-002 | payment_declined
T-003 | package_not_received
T-004 | duplicate_charge
T-005 | app_crash
T-006 | app_crash
T-007 | duplicate_charge
T-008 | payment_declined
T-009 | tracking_stalled
T-010 | password_reset_missing
T-011 | verification_phone_old
T-012 | damaged_item
T-013 | verification_phone_old
T-014 | duplicate_charge
T-015 | tracking_stalled
T-016 | package_not_received
T-017 | package_not_received
T-018 | refund_pending
T-019 | damaged_item
T-020 | duplicate_charge
T-021 | package_not_received
T-022 | app_crash
T-023 | password_reset_missing
T-024 | refund_pending
T-025 | password_reset_missing
T-026 | unexpected_fee
T-027 | payment_declined
T-028 | payment_declined
T-029 | verification_phone_old
T-030 | damaged_item
T-031 | package_not_received
T-032 | duplicate_charge
T-033 | package_not_received
T-034 | duplicate_charge
T-035 | unexpected_fee
T-036 | damaged_item
T-037 | package_not_received
T-038 | duplicate_charge
T-039 | tracking_stalled
T-040 | refund_pending
T-041 | app_crash
T-042 | refund_pending
T-043 | verification_phone_old
T-044 | unexpected_fee
T-045 | damaged_item
T-046 | unexpected_fee
T-047 | password_reset_missing
T-048 | password_reset_missing
T-049 | refund_pending
T-050 | payment_declined
T-051 | verification_phone_old
T-052 | verification_phone_old
T-053 | payment_declined
T-054 | refund_pending
T-055 | tracking_stalled
T-056 | package_not_received
T-057 | payment_declined
T-058 | verification_phone_old
T-059 | password_reset_missing
T-060 | unexpected_fee
T-061 | verification_phone_old
T-062 | unexpected_fee
T-063 | payment_declined
T-064 | password_reset_missing
T-065 | unexpected_fee
T-066 | damaged_item
T-067 | tracking_stalled
T-068 | tracking_stalled
T-069 | tracking_stalled
T-070 | tracking_stalled
T-071 | package_not_received
T-072 | unexpected_fee
T-073 | app_crash
T-074 | app_crash
T-075 | damaged_item
T-076 | app_crash
T-077 | payment_declined
T-078 | damaged_item
T-079 | unexpected_fee
T-080 | unexpected_fee
T-081 | password_reset_missing
T-082 | payment_declined
T-083 | password_reset_missing
T-084 | refund_pending
T-085 | duplicate_charge
T-086 | tracking_stalled
T-087 | refund_pending
T-088 | damaged_item
T-089 | tracking_stalled
T-090 | password_reset_missing
T-091 | verification_phone_old
T-092 | duplicate_charge
T-093 | app_crash
T-094 | app_crash
T-095 | duplicate_charge
T-096 | package_not_received
T-097 | app_crash
T-098 | app_crash
T-099 | refund_pending
T-100 | refund_pending

COMPLETED_COUNT: 100
