T-001 | unexpected_fee
T-002 | app_crash
T-003 | package_not_received
T-004 | unexpected_fee
T-005 | app_crash
T-006 | unexpected_fee
T-007 | verification_phone_old
T-008 | package_not_received
T-009 | unexpected_fee
T-010 | payment_declined
T-011 | damaged_item
T-012 | app_crash
T-013 | tracking_stalled
T-014 | package_not_received
T-015 | duplicate_charge
T-016 | tracking_stalled
T-017 | app_crash
T-018 | password_reset_missing
T-019 | payment_declined
T-020 | payment_declined
T-021 | package_not_received
T-022 | package_not_received
T-023 | tracking_stalled
T-024 | refund_pending
T-025 | damaged_item
T-026 | duplicate_charge
T-027 | password_reset_missing
T-028 | payment_declined
T-029 | package_not_received
T-030 | damaged_item
T-031 | verification_phone_old
T-032 | verification_phone_old
T-033 | damaged_item
T-034 | unexpected_fee
T-035 | damaged_item
T-036 | verification_phone_old
T-037 | payment_declined
T-038 | unexpected_fee
T-039 | refund_pending
T-040 | payment_declined
T-041 | app_crash
T-042 | app_crash
T-043 | damaged_item
T-044 | unexpected_fee
T-045 | unexpected_fee
T-046 | duplicate_charge
T-047 | duplicate_charge
T-048 | tracking_stalled
T-049 | payment_declined
T-050 | password_reset_missing
T-051 | damaged_item
T-052 | app_crash
T-053 | password_reset_missing
T-054 | refund_pending
T-055 | package_not_received
T-056 | duplicate_charge
T-057 | damaged_item
T-058 | password_reset_missing
T-059 | password_reset_missing
T-060 | password_reset_missing
T-061 | damaged_item
T-062 | tracking_stalled
T-063 | verification_phone_old
T-064 | tracking_stalled
T-065 | duplicate_charge
T-066 | duplicate_charge
T-067 | verification_phone_old
T-068 | payment_declined
T-069 | password_reset_missing
T-070 | duplicate_charge
T-071 | verification_phone_old
T-072 | password_reset_missing
T-073 | payment_declined
T-074 | verification_phone_old
T-075 | password_reset_missing
T-076 | unexpected_fee
T-077 | payment_declined
T-078 | tracking_stalled
T-079 | refund_pending
T-080 | unexpected_fee
T-081 | password_reset_missing
T-082 | damaged_item
T-083 | damaged_item
T-084 | payment_declined
T-085 | refund_pending
T-086 | verification_phone_old
T-087 | damaged_item
T-088 | duplicate_charge
T-089 | password_reset_missing
T-090 | duplicate_charge
T-091 | damaged_item
T-092 | payment_declined
T-093 | refund_pending
T-094 | password_reset_missing
T-095 | package_not_received
T-096 | verification_phone_old
T-097 | refund_pending
T-098 | refund_pending
T-099 | app_crash
T-100 | package_not_received
T-101 | password_reset_missing
T-102 | unexpected_fee
T-103 | tracking_stalled
T-104 | duplicate_charge
T-105 | duplicate_charge
T-106 | verification_phone_old
T-107 | app_crash
T-108 | package_not_received
T-109 | app_crash
T-110 | package_not_received
T-111 | unexpected_fee
T-112 | refund_pending
T-113 | password_reset_missing
T-114 | tracking_stalled
T-115 | payment_declined
T-116 | tracking_stalled
T-117 | tracking_stalled
T-118 | refund_pending
T-119 | tracking_stalled
T-120 | app_crash
T-121 | package_not_received
T-122 | password_reset_missing
T-123 | duplicate_charge
T-124 | duplicate_charge
T-125 | package_not_received
T-126 | payment_declined
T-127 | unexpected_fee
T-128 | damaged_item
T-129 | refund_pending
T-130 | password_reset_missing
T-131 | app_crash
T-132 | duplicate_charge
T-133 | damaged_item
T-134 | app_crash
T-135 | tracking_stalled
T-136 | tracking_stalled
T-137 | package_not_received
T-138 | password_reset_missing
T-139 | refund_pending
T-140 | refund_pending
T-141 | unexpected_fee
T-142 | payment_declined
T-143 | refund_pending
T-144 | tracking_stalled
T-145 | app_crash
T-146 | unexpected_fee
T-147 | app_crash
T-148 | tracking_stalled
T-149 | duplicate_charge
T-150 | package_not_received

COMPLETED_COUNT: 150
