Completion report examples:

Required IDs: T-001, T-002, T-003
Response:
T-001 | app_crash
T-003 | damaged_item
COMPLETED_IDS: [T-001, T-003]
UNFINISHED_IDS: [T-002]
FULL_TASK_COMPLETE: NO

Required IDs: T-001, T-002
Response:
T-001 | damaged_item
T-002 | payment_declined
COMPLETED_IDS: [T-001, T-002]
UNFINISHED_IDS: []
FULL_TASK_COMPLETE: YES

Now:

Required IDs: T-001, T-002, T-003, T-004, T-005, T-006, T-007, T-008, T-009, T-010, T-011, T-012, T-013, T-014, T-015, T-016, T-017, T-018, T-019, T-020, T-021, T-022, T-023, T-024, T-025, T-026, T-027, T-028, T-029, T-030, T-031, T-032, T-033, T-034, T-035, T-036, T-037, T-038, T-039, T-040, T-041, T-042, T-043, T-044, T-045, T-046, T-047, T-048, T-049, T-050, T-051, T-052, T-053, T-054, T-055, T-056, T-057, T-058, T-059, T-060, T-061, T-062, T-063, T-064, T-065, T-066, T-067, T-068, T-069, T-070, T-071, T-072, T-073, T-074, T-075, T-076, T-077, T-078, T-079, T-080, T-081, T-082, T-083, T-084, T-085, T-086, T-087, T-088, T-089, T-090, T-091, T-092, T-093, T-094, T-095, T-096, T-097, T-098, T-099, T-100, T-101, T-102, T-103, T-104, T-105, T-106, T-107, T-108, T-109, T-110, T-111, T-112, T-113, T-114, T-115, T-116, T-117, T-118, T-119, T-120, T-121, T-122, T-123, T-124, T-125, T-126, T-127, T-128, T-129, T-130, T-131, T-132, T-133, T-134, T-135, T-136, T-137, T-138, T-139, T-140, T-141, T-142, T-143, T-144, T-145, T-146, T-147, T-148, T-149, T-150
Response:
T-001 | password_reset_missing
T-002 | verification_phone_old
T-003 | app_crash
T-004 | app_crash
T-005 | duplicate_charge
T-006 | app_crash
T-007 | password_reset_missing
T-008 | payment_declined
T-009 | refund_pending
T-010 | unexpected_fee
T-011 | damaged_item
T-012 | payment_declined
T-013 | unexpected_fee
T-014 | verification_phone_old
T-015 | duplicate_charge
T-016 | damaged_item
T-017 | duplicate_charge
T-018 | unexpected_fee
T-019 | package_not_received
T-020 | app_crash
T-021 | duplicate_charge
T-022 | password_reset_missing
T-023 | refund_pending
T-024 | payment_declined
T-025 | tracking_stalled
T-026 | password_reset_missing
T-027 | payment_declined
T-028 | payment_declined
T-029 | payment_declined
T-030 | package_not_received
T-031 | unexpected_fee
T-032 | package_not_received
T-033 | refund_pending
T-034 | tracking_stalled
T-035 | duplicate_charge
T-036 | verification_phone_old
T-037 | payment_declined
T-038 | unexpected_fee
T-039 | unexpected_fee
T-040 | verification_phone_old
T-041 | refund_pending
T-042 | tracking_stalled
T-043 | password_reset_missing
T-044 | damaged_item
T-045 | unexpected_fee
T-046 | verification_phone_old
T-047 | duplicate_charge
T-048 | damaged_item
T-049 | package_not_received
T-050 | verification_phone_old
T-051 | duplicate_charge
T-052 | unexpected_fee
T-053 | duplicate_charge
T-054 | app_crash
T-055 | tracking_stalled
T-056 | refund_pending
T-057 | password_reset_missing
T-058 | package_not_received
T-059 | duplicate_charge
T-060 | unexpected_fee
T-061 | package_not_received
T-062 | duplicate_charge
T-063 | verification_phone_old
T-064 | tracking_stalled
T-065 | damaged_item
T-066 | package_not_received
T-067 | tracking_stalled
T-068 | payment_declined
T-069 | tracking_stalled
T-070 | verification_phone_old
T-071 | tracking_stalled
T-072 | app_crash
T-073 | app_crash
T-074 | unexpected_fee
T-075 | app_crash
T-076 | password_reset_missing
T-077 | duplicate_charge
T-078 | verification_phone_old
T-079 | password_reset_missing
T-080 | damaged_item
T-081 | app_crash
T-082 | verification_phone_old
T-083 | unexpected_fee
T-084 | refund_pending
T-085 | tracking_stalled
T-086 | payment_declined
T-087 | damaged_item
T-088 | damaged_item
T-089 | damaged_item
T-090 | verification_phone_old
T-091 | duplicate_charge
T-092 | refund_pending
T-093 | app_crash
T-094 | password_reset_missing
T-095 | unexpected_fee
T-096 | app_crash
T-097 | damaged_item
T-098 | unexpected_fee
T-099 | damaged_item
T-100 | password_reset_missing
T-101 | payment_declined
T-102 | payment_declined
T-103 | payment_declined
T-104 | payment_declined
T-105 | password_reset_missing
T-106 | app_crash
T-107 | refund_pending
T-108 | verification_phone_old
T-109 | verification_phone_old
T-110 | password_reset_missing
T-111 | password_reset_missing
T-112 | damaged_item
T-113 | payment_declined
T-114 | duplicate_charge
T-115 | app_crash
T-116 | tracking_stalled
T-117 | payment_declined
T-118 | damaged_item
T-119 | unexpected_fee
T-120 | package_not_received
T-121 | verification_phone_old
T-122 | package_not_received
T-123 | app_crash
T-124 | refund_pending
T-125 | tracking_stalled
T-126 | refund_pending
T-127 | damaged_item
T-128 | duplicate_charge
T-129 | package_not_received
T-130 | tracking_stalled
T-131 | package_not_received
T-132 | damaged_item
T-133 | password_reset_missing
T-134 | verification_phone_old
T-135 | password_reset_missing
T-136 | tracking_stalled
T-137 | refund_pending
T-138 | unexpected_fee
T-139 | refund_pending
T-140 | package_not_received
T-141 | tracking_stalled
T-142 | damaged_item
T-143 | damaged_item
T-144 | verification_phone_old
T-145 | package_not_received
T-146 | refund_pending
T-147 | refund_pending
T-148 | tracking_stalled
T-149 | duplicate_charge
T-150 | damaged_item
COMPLETED_IDS:
